Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2026-08-18 13:00:00,0.08129000,0.08164000,0.08104000,0.08163000,2928530.10000000,2026-08-18 13:59:59,238285.92270500,3205,1127565.30000000,91779.74752900,0
2026-08-18 14:00:00,0.08164000,0.08230000,0.08158000,0.08211000,2865647.70000000,2026-08-18 14:59:59,235054.52046100,3361,1656673.60000000,135860.66604700,0
2026-08-18 15:00:00,0.08211000,0.08214000,0.08101000,0.08162000,1388850.90000000,2026-08-18 15:59:59,113354.95692300,2029,573120.60000000,46775.53383100,0
2026-08-18 16:00:00,0.08161000,0.08243000,0.08137000,0.08226000,1733178.40000000,2026-08-18 16:59:59,141795.52425900,2618,786750.70000000,64400.75382900,0
2026-08-18 17:00:00,0.08226000,0.08292000,0.07350000,0.08260000,7697066.60000000,2026-08-18 17:59:59,625327.31881400,8474,3392280.10000000,275924.74621700,0
2026-08-18 18:00:00,0.08260000,0.08382000,0.08205000,0.08239000,5513959.50000000,2026-08-18 18:59:59,457519.83305800,5808,3566391.20000000,296151.74463200,0
2026-08-18 19:00:00,0.08239000,0.08241000,0.08195000,0.08209000,1968052.90000000,2026-08-18 19:59:59,161814.54693600,3316,576540.80000000,47412.74357900,0
2026-08-18 20:00:00,0.08209000,0.08249000,0.08162000,0.08176000,1725281.70000000,2026-08-18 20:59:59,141599.05677600,2467,664106.30000000,54522.33226200,0
2026-08-18 21:00:00,0.08177000,0.08228000,0.08169000,0.08180000,784046.00000000,2026-08-18 21:59:59,64224.03425000,1151,382779.20000000,31370.24770600,0
2026-08-18 22:00:00,0.08179000,0.08186000,0.08150000,0.08179000,430551.90000000,2026-08-18 22:59:59,35173.86939800,1074,107196.30000000,8754.70539000,0
2026-08-18 23:00:00,0.08179000,0.08202000,0.08175000,0.08196000,675978.10000000,2026-08-18 23:59:59,55365.34154200,987,439733.10000000,36025.38240100,0
2026-08-19 00:00:00,0.08197000,0.08232000,0.08173000,0.08222000,1493428.90000000,2026-08-19 00:59:59,122479.77477900,1889,800715.30000000,65675.23159100,0
2026-08-19 01:00:00,0.08219000,0.08252000,0.08215000,0.08233000,763770.90000000,2026-08-19 01:59:59,62901.90516200,1429,370946.20000000,30551.35260800,0
2026-08-19 02:00:00,0.08231000,0.08274000,0.08179000,0.08200000,1610162.70000000,2026-08-19 02:59:59,132808.46731200,1920,767894.90000000,63292.78677700,0
2026-08-19 03:00:00,0.08201000,0.08232000,0.08164000,0.08224000,1118643.40000000,2026-08-19 03:59:59,91707.93076200,1744,486265.90000000,39866.84600600,0
2026-08-19 04:00:00,0.08224000,0.08253000,0.08207000,0.08248000,744705.20000000,2026-08-19 04:59:59,61264.80178400,1565,379507.60000000,31222.97840000,0
2026-08-19 05:00:00,0.08248000,0.08286000,0.08195000,0.08196000,1767315.30000000,2026-08-19 05:59:59,145517.11187100,2058,889083.50000000,73281.32605700,0
2026-08-19 06:00:00,0.08195000,0.08250000,0.08193000,0.08208000,1640425.30000000,2026-08-19 06:59:59,134801.10747000,1757,732273.40000000,60168.81085900,0
2026-08-19 07:00:00,0.08208000,0.08250000,0.08179000,0.08183000,1283459.00000000,2026-08-19 07:59:59,105275.32234500,2023,749316.20000000,61476.11681000,0
2026-08-19 08:00:00,0.08183000,0.08191000,0.08154000,0.08157000,1476086.00000000,2026-08-19 08:59:59,120649.50790000,1502,987020.10000000,80678.04240000,0
2026-08-19 09:00:00,0.08156000,0.08175000,0.08121000,0.08153000,1382087.90000000,2026-08-19 09:59:59,112657.07888600,1578,834447.20000000,68005.42488800,0
2026-08-19 10:00:00,0.08154000,0.08177000,0.08050000,0.08148000,8763098.00000000,2026-08-19 10:59:59,711696.68448800,8513,3037953.60000000,246876.20003800,0
2026-08-19 11:00:00,0.08149000,0.08156000,0.08076000,0.08084000,5794400.70000000,2026-08-19 11:59:59,470649.90243000,6037,1535268.80000000,124725.22167400,0
2026-08-19 12:00:00,0.08083000,0.08243000,0.08072000,0.08205000,2401586.90000000,2026-08-19 12:59:59,196001.11386800,3991,1261161.80000000,102971.08662600,0
2026-08-19 13:00:00,0.08203000,0.08228000,0.08146000,0.08148000,3392948.10000000,2026-08-19 13:59:59,277978.60890800,4956,1215745.70000000,99624.86055700,0
2026-08-19 14:00:00,0.08148000,0.08172000,0.08083000,0.08147000,2213975.60000000,2026-08-19 14:59:59,180139.79660700,3311,970527.60000000,78945.32802200,0
2026-08-19 15:00:00,0.08147000,0.08287000,0.08132000,0.08159000,3541146.20000000,2026-08-19 15:59:59,290376.15694700,5350,2077090.90000000,170320.18134700,0
2026-08-19 16:00:00,0.08157000,0.08157000,0.08102000,0.08121000,2156381.30000000,2026-08-19 16:59:59,175261.48811600,2548,1118583.30000000,90911.51155900,0
2026-08-19 17:00:00,0.08123000,0.08131000,0.08045000,0.08057000,1920819.50000000,2026-08-19 17:59:59,155161.17708800,3281,783827.30000000,63340.14092600,0
2026-08-19 18:00:00,0.08057000,0.08088000,0.08048000,0.08062000,1100593.20000000,2026-08-19 18:59:59,88792.22194000,2001,515364.00000000,41578.70327100,0
2026-08-19 19:00:00,0.08062000,0.08095000,0.08048000,0.08086000,1350747.00000000,2026-08-19 19:59:59,109018.62900700,1819,499814.40000000,40330.39069200,0
2026-08-19 20:00:00,0.08086000,0.08204000,0.08085000,0.08165000,1814844.00000000,2026-08-19 20:59:59,147664.46628400,2507,1008600.30000000,82135.98682600,0
2026-08-19 21:00:00,0.08164000,0.08274000,0.08149000,0.08205000,3445643.90000000,2026-08-19 21:59:59,283382.02991300,3933,1874689.80000000,154181.08090900,0
