open_time,open,high,low,close
2026-07-28 20:00:00,3.88000000,3.89400000,3.86651929,3.89317482
2026-07-28 21:00:00,3.89317482,3.92300000,3.88600000,3.90700000
2026-07-28 22:00:00,3.90700000,3.92424336,3.87500000,3.87600000
2026-07-28 23:00:00,3.87501674,3.89300000,3.85900000,3.89277418
2026-07-29 00:00:00,3.89279120,3.90700000,3.87048588,3.88164753
2026-07-29 01:00:00,3.88163796,3.88821862,3.83100000,3.83200000
2026-07-29 02:00:00,3.83131889,3.84908956,3.81400000,3.81900000
2026-07-29 03:00:00,3.81900000,3.82043095,3.76900000,3.77111202
2026-07-29 04:00:00,3.77111202,3.79500000,3.73785636,3.79431938
2026-07-29 05:00:00,3.79431692,3.83840630,3.79108885,3.81800000
2026-07-29 06:00:00,3.81739448,3.85300000,3.81100000,3.82900000
2026-07-29 07:00:00,3.82900000,3.83233536,3.80388670,3.81179211
2026-07-29 08:00:00,3.81192514,3.90100000,3.80807002,3.87900000
2026-07-29 09:00:00,3.87900000,4.00798809,3.87503052,3.97202139
2026-07-29 10:00:00,3.97202068,4.03100000,3.95870632,4.01517635
2026-07-29 11:00:00,4.01600000,4.06157736,3.99299543,4.04600000
2026-07-29 12:00:00,4.04600000,4.05300000,4.00818304,4.04400516
2026-07-29 13:00:00,4.04386752,4.07100000,4.02459460,4.04505883
2026-07-29 14:00:00,4.04505883,4.04900000,3.99712744,4.00200000
2026-07-29 15:00:00,4.00200000,4.01091977,3.94166711,3.96819136
2026-07-29 16:00:00,3.96819136,3.97219630,3.92828963,3.97102932
2026-07-29 17:00:00,3.97000000,3.97900000,3.95000000,3.97500000
2026-07-29 18:00:00,3.97600000,4.01841905,3.93442191,3.99000000
2026-07-29 19:00:00,3.99000000,3.99732436,3.90500000,3.90700000
2026-07-29 20:00:00,3.90600000,3.91515197,3.87100000,3.87654804
2026-07-29 21:00:00,3.87618931,3.93700000,3.85300000,3.93700000
2026-07-29 22:00:00,3.93700000,4.01800000,3.93661598,3.99900000
2026-07-29 23:00:00,4.00000000,4.01000000,3.98063190,3.98841367
2026-07-30 00:00:00,3.98840701,4.01600000,3.96226937,3.97406897
2026-07-30 01:00:00,3.97503790,4.05500000,3.96804258,4.02500000
2026-07-30 02:00:00,4.02500000,4.04500000,3.99646818,4.01800000
2026-07-30 03:00:00,4.01800000,4.03400000,3.99600000,4.01329988
2026-07-30 04:00:00,4.01344619,4.02244963,3.97900000,3.98568076
2026-07-30 05:00:00,3.98555075,3.99702246,3.96400000,3.96819865
2026-07-30 06:00:00,3.96802113,4.00500000,3.96392368,3.97198693
2026-07-30 07:00:00,3.97214511,3.99418735,3.95747960,3.98900000
2026-07-30 08:00:00,3.98900000,4.06900000,3.98000000,4.01619856
2026-07-30 09:00:00,4.01619856,4.03700000,4.00700000,4.02663499
2026-07-30 10:00:00,4.02663499,4.06700000,4.01100000,4.06000000
2026-07-30 11:00:00,4.06000000,4.12900000,4.05900000,4.12600000
2026-07-30 12:00:00,4.12600000,4.22100000,4.12012035,4.20600000
2026-07-30 13:00:00,4.20700000,4.29444910,4.18100000,4.28876446
