ts,open,high,low,close
1784012400000,1783.22,1786.27,1779.43,1781.1,1
1784016000000,1781.1,1789.65,1778.87,1785.98,1
1784019600000,1785.98,1789.58,1782.98,1786.11,1
1784023200000,1786.11,1805.03,1786.04,1800.27,1
1784026800000,1800.27,1803,1795.77,1798.05,1
1784030400000,1798.05,1866.44,1794.36,1860.94,1
1784034000000,1860.97,1882.75,1854.76,1871.53,1
1784037600000,1871.53,1883.92,1859.71,1881.31,1
1784041200000,1881.31,1888.64,1873.01,1875.2,1
1784044800000,1875.2,1877.21,1868.83,1873.87,1
1784048400000,1873.87,1873.87,1861.03,1871.62,1
1784052000000,1871.62,1876.94,1868.31,1874.87,1
1784055600000,1874.87,1881.57,1874.47,1876.93,1
1784059200000,1876.93,1878.75,1873.82,1875.48,1
1784062800000,1875.48,1879.79,1874.54,1876.56,1
1784066400000,1876.56,1896.19,1872.14,1882.05,1
1784070000000,1882.05,1893.42,1878.76,1891.85,1
1784073600000,1891.85,1893.39,1878.17,1881.71,1
1784077200000,1881.71,1882.12,1867.42,1870.3,1
1784080800000,1870.3,1872.95,1864.53,1864.66,1
1784084400000,1864.66,1879.06,1864.54,1876.25,1
1784088000000,1876.25,1880.57,1873.54,1876.45,1
1784091600000,1876.45,1883.52,1871.86,1882.64,1
1784095200000,1882.64,1891.93,1875.74,1875.82,1
1784098800000,1875.82,1877.16,1864.67,1870,1
1784102400000,1870,1879.63,1870,1879.28,1
1784106000000,1879.28,1886.62,1879.17,1879.9,1
1784109600000,1879.9,1886.53,1875.02,1878.16,1
1784113200000,1878.16,1885.78,1877.43,1884.63,1
1784116800000,1884.63,1929.36,1879.32,1927.3,1
1784120400000,1927.28,1946.43,1917.22,1925.82,1
1784124000000,1925.82,1935.43,1919.23,1933.27,1
1784127600000,1933.27,1937.25,1925.81,1931.82,1
1784131200000,1931.82,1932.86,1904.32,1919.64,1
1784134800000,1919.64,1931.11,1919.46,1928.09,1
1784138400000,1928.08,1936.76,1922.66,1924.38,1
1784142000000,1924.38,1929.11,1919.2,1924.01,1
1784145600000,1924.01,1930.4,1920.19,1923.69,1
1784149200000,1923.69,1925.82,1919.77,1922.08,1
1784152800000,1922.08,1927.83,1918.33,1923.36,1
1784156400000,1923.36,1927.2,1914.94,1917.89,1
1784160000000,1917.89,1925,1911.58,1914.86,1
1784163600000,1914.86,1925.95,1908.08,1922.71,1
1784167200000,1922.71,1926.07,1918.86,1925.26,1
1784170800000,1925.26,1929.08,1917.06,1918.74,1
1784174400000,1918.74,1920.98,1914.2,1918.34,1
1784178000000,1918.34,1927.67,1917.24,1925.67,1
1784181600000,1925.67,1929.08,1915.65,1922.62,1
1784185200000,1922.62,1922.63,1905.18,1910.56,1
1784188800000,1910.56,1912.85,1876.01,1886.24,1
1784192400000,1886.23,1889.22,1880.65,1884.64,1
1784196000000,1884.64,1891.72,1883.86,1888.53,1
1784199600000,1888.53,1888.58,1879.46,1885.3,1
1784203200000,1885.3,1885.3,1867.74,1872.66,1
1784206800000,1872.66,1890.23,1871.07,1882.61,1
1784210400000,1882.61,1892.98,1874.82,1883.49,1
1784214000000,1883.49,1894.03,1871.12,1881.82,1
1784217600000,1881.82,1883.09,1874.66,1878.98,1
1784221200000,1878.98,1879.32,1863.17,1868.99,1
1784224800000,1868.99,1879.74,1868.08,1875.91,1
1784228400000,1875.9,1877.76,1871.11,1875.68,1
1784232000000,1875.68,1875.74,1871.62,1871.8,1
1784235600000,1871.8,1881.23,1871.75,1878.73,1
1784239200000,1878.73,1881.6,1868.4,1869,1
1784242800000,1869,1870.7,1857.57,1864.67,1
1784246400000,1864.67,1866.69,1848.67,1865.79,1
1784250000000,1865.79,1871.07,1848.07,1851.27,1
1784253600000,1851.27,1855.64,1843.54,1848.14,1
1784257200000,1848.14,1859.59,1847.33,1852.54,1
1784260800000,1852.54,1852.95,1843.94,1850.15,1
1784264400000,1850.13,1850.13,1821.66,1823.94,1
1784268000000,1823.94,1836.5,1821.13,1832.29,1
1784271600000,1832.29,1833.42,1826.16,1828.34,1
1784275200000,1828.34,1832.56,1821.38,1830.11,1
1784278800000,1830.11,1836.2,1829.25,1835.04,1
1784282400000,1835.04,1840.24,1834.21,1836.93,1
1784286000000,1836.93,1843.06,1833.31,1839.11,1
1784289600000,1839.11,1840.36,1827.57,1828.43,1
1784293200000,1828.43,1829.19,1803.47,1825.43,1
1784296800000,1825.41,1834,1817.31,1822.25,1
1784300400000,1822.25,1831.34,1810.8,1830.95,1
1784304000000,1830.95,1840.62,1826.68,1836,1
1784307600000,1836,1856.3,1836,1843.79,1
1784311200000,1843.79,1849.76,1835.2,1847.12,1
1784314800000,1847.12,1847.12,1835.98,1843.91,1
1784318400000,1843.91,1846.27,1837.23,1842.97,1
1784322000000,1842.98,1846.71,1840.72,1841.55,1
1784325600000,1841.55,1843.88,1837.6,1839.94,1
1784329200000,1839.94,1844.44,1835.23,1841.86,1
1784332800000,1841.86,1845,1840.02,1840.84,1
1784336400000,1840.85,1843.41,1839.38,1842.53,1
1784340000000,1842.53,1846.85,1841.4,1842.03,1
1784343600000,1842.03,1846.46,1841.58,1846.02,1
1784347200000,1846.03,1846.23,1842.56,1844.73,1
1784350800000,1844.73,1849.57,1843.14,1845.9,1
1784354400000,1845.9,1847.95,1843.08,1844.92,1
1784358000000,1844.92,1846.05,1843.11,1844.25,1
1784361600000,1844.25,1849.35,1842.36,1847.49,1
1784365200000,1847.49,1848.03,1842.95,1844.99,1
1784368800000,1844.99,1846.77,1844.06,1845.53,1
1784372400000,1845.53,1846.78,1844.39,1845.51,1
1784376000000,1845.51,1850.53,1840.36,1844.84,1
1784379600000,1844.84,1844.84,1837.55,1841.57,1
1784383200000,1841.6,1846.3,1840.68,1845.87,1
1784386800000,1845.88,1846.17,1842.08,1843.94,1
1784390400000,1843.94,1847.16,1841.57,1846.03,1
1784394000000,1846.03,1853.38,1843.5,1852.61,1
1784397600000,1852.61,1866.84,1849.99,1857.53,1
1784401200000,1857.53,1861.45,1856,1858.46,1
1784404800000,1858.46,1863.43,1855.5,1857.21,1
1784408400000,1857.21,1862.99,1855.93,1860.92,1
1784412000000,1860.92,1865.72,1859.97,1863.64,1
1784415600000,1863.64,1864.37,1860.07,1862.64,1
1784419200000,1862.64,1863.66,1859.33,1861.48,1
1784422800000,1861.48,1861.57,1858.55,1859.12,1
1784426400000,1859.12,1877.36,1858.2,1871.44,1
1784430000000,1871.44,1872.93,1863.83,1867.16,1
1784433600000,1867.16,1870.22,1864.28,1867.31,1
1784437200000,1867.31,1870.26,1865.66,1868.54,1
1784440800000,1868.54,1871.49,1868.23,1869.27,1
1784444400000,1869.27,1871.92,1867.03,1869.99,1
1784448000000,1869.99,1875.32,1867.69,1873.76,1
1784451600000,1873.76,1874.05,1865.33,1866.31,1
1784455200000,1866.31,1879.13,1864.08,1872.33,1
1784458800000,1872.33,1878.63,1870.11,1871.35,1
1784462400000,1871.35,1874.35,1864.44,1870.46,1
1784466000000,1870.46,1873.74,1865.87,1871.84,1
1784469600000,1871.84,1878.95,1868.79,1874.74,1
1784473200000,1874.74,1876.13,1869,1870.98,1
1784476800000,1870.98,1873.63,1866.03,1866.73,1
1784480400000,1866.73,1873.63,1858.35,1867.27,1
