date,symbol,market_cap,rank
2013-01-01 00:00:00+00:00,BTC,143356243.69999999,1
2013-01-02 00:00:00+00:00,BTC,143135974.81000000,1
2013-01-03 00:00:00+00:00,BTC,142382924.78000000,1
2013-01-04 00:00:00+00:00,BTC,143392826.11000001,1
2013-01-05 00:00:00+00:00,BTC,142910695.09000000,1
2013-01-06 00:00:00+00:00,BTC,143745861.36000001,1
2013-01-07 00:00:00+00:00,BTC,143990318.72999999,1
2013-01-08 00:00:00+00:00,BTC,144887554.94999999,1
2013-01-09 00:00:00+00:00,BTC,146625855.31999999,1
2013-01-10 00:00:00+00:00,BTC,149596469.97000000,1
2013-01-11 00:00:00+00:00,BTC,150747926.47000000,1
2013-01-12 00:00:00+00:00,BTC,152446750.06999999,1
2013-01-13 00:00:00+00:00,BTC,152512057.47000000,1
2013-01-14 00:00:00+00:00,BTC,152589033.72000000,1
2013-01-15 00:00:00+00:00,BTC,152500417.91999999,1
2013-01-16 00:00:00+00:00,BTC,155178735.52000001,1
2013-01-17 00:00:00+00:00,BTC,164799003.88000000,1
2013-01-18 00:00:00+00:00,BTC,165932928.37000000,1
2013-01-19 00:00:00+00:00,BTC,167185429.38000000,1
2013-01-20 00:00:00+00:00,BTC,168895136.62000000,1
2013-01-21 00:00:00+00:00,BTC,174324162.13999999,1
2013-01-22 00:00:00+00:00,BTC,183459236.46000001,1
2013-01-23 00:00:00+00:00,BTC,187793222.34000000,1
2013-01-24 00:00:00+00:00,BTC,182756512.50999999,1
2013-01-25 00:00:00+00:00,BTC,198610247.22999999,1
2013-01-26 00:00:00+00:00,BTC,197801590.37000000,1
2013-01-27 00:00:00+00:00,BTC,190278933.33000001,1
2013-01-28 00:00:00+00:00,BTC,198805961.52000001,1
2013-01-29 00:00:00+00:00,BTC,208681744.83000001,1
2013-01-30 00:00:00+00:00,BTC,211989135.13000000,1
2013-01-31 00:00:00+00:00,BTC,217388476.72999999,1
2013-02-01 00:00:00+00:00,BTC,220193011.00999999,1
2013-02-02 00:00:00+00:00,BTC,210755638.63000000,1
2013-02-03 00:00:00+00:00,BTC,222470570.55000001,1
2013-02-04 00:00:00+00:00,BTC,221028144.28999999,1
2013-02-05 00:00:00+00:00,BTC,223067947.81000000,1
2013-02-06 00:00:00+00:00,BTC,225327677.06000000,1
2013-02-07 00:00:00+00:00,BTC,233294207.19999999,1
2013-02-08 00:00:00+00:00,BTC,239320219.77000001,1
2013-02-09 00:00:00+00:00,BTC,253283942.94999999,1
2013-02-10 00:00:00+00:00,BTC,257074064.06000000,1
2013-02-11 00:00:00+00:00,BTC,264268861.00000000,1
2013-02-12 00:00:00+00:00,BTC,270602341.57999998,1
2013-02-13 00:00:00+00:00,BTC,270256713.51999998,1
2013-02-14 00:00:00+00:00,BTC,279252464.87000000,1
2013-02-15 00:00:00+00:00,BTC,292822506.33999997,1
2013-02-16 00:00:00+00:00,BTC,294128286.73000002,1
2013-02-17 00:00:00+00:00,BTC,293989172.01999998,1
2013-02-18 00:00:00+00:00,BTC,290722203.75999999,1
2013-02-19 00:00:00+00:00,BTC,296903926.39999998,1
2013-02-20 00:00:00+00:00,BTC,320221545.19000000,1
2013-02-21 00:00:00+00:00,BTC,321619586.30000001,1
2013-02-22 00:00:00+00:00,BTC,326736052.72000003,1
2013-02-23 00:00:00+00:00,BTC,327763617.75999999,1
2013-02-24 00:00:00+00:00,BTC,322698835.82999998,1
2013-02-25 00:00:00+00:00,BTC,328708939.22000003,1
2013-02-26 00:00:00+00:00,BTC,331685631.22000003,1
2013-02-27 00:00:00+00:00,BTC,336511227.88000000,1
2013-02-28 00:00:00+00:00,BTC,347227229.24000001,1
2013-03-01 00:00:00+00:00,BTC,369364675.22000003,1
2013-03-02 00:00:00+00:00,BTC,372189830.60000002,1
2013-03-03 00:00:00+00:00,BTC,372621771.48000002,1
2013-03-04 00:00:00+00:00,BTC,372102317.25999999,1
2013-03-05 00:00:00+00:00,BTC,413908124.83999997,1
2013-03-06 00:00:00+00:00,BTC,443408046.83999997,1
2013-03-07 00:00:00+00:00,BTC,456479625.00000000,1
2013-03-08 00:00:00+00:00,BTC,479081106.14999998,1
2013-03-09 00:00:00+00:00,BTC,503093024.89999998,1
2013-03-10 00:00:00+00:00,BTC,503498842.17000002,1
2013-03-11 00:00:00+00:00,BTC,520592815.38000000,1
2013-03-12 00:00:00+00:00,BTC,506467455.08999997,1
2013-03-13 00:00:00+00:00,BTC,498303678.39999998,1
2013-03-14 00:00:00+00:00,BTC,512959838.56999999,1
2013-03-15 00:00:00+00:00,BTC,511068672.25000000,1
