date,dxy,sp500,nasdaq,gold,us10y,vix
2021-08-17,93.12999725,4448.08007812,14656.17968750,1785.00000000,1.25800002,17.90999985
2021-08-18,93.13999939,4400.27001953,14525.91015625,1781.59997559,1.27300000,21.56999969
2021-08-19,93.56999969,4405.79980469,14541.79003906,1780.19995117,1.24199998,21.67000008
2021-08-20,93.50000000,4441.66992188,14714.66015625,1781.00000000,1.25999999,18.55999947
2021-08-23,92.95999908,4479.52978516,14942.65039062,1803.19995117,1.25500000,17.14999962
2021-08-24,92.88999939,4486.22998047,15019.79980469,1805.59997559,1.28999996,17.21999931
2021-08-25,92.83000183,4496.18994141,15041.86035156,1788.19995117,1.34200001,16.79000092
2021-08-26,93.05999756,4470.00000000,14945.80957031,1792.19995117,1.34200001,18.84000015
2021-08-27,92.69000244,4509.37011719,15129.50000000,1816.59997559,1.31200004,16.38999939
2021-08-30,92.65000153,4528.79003906,15265.88964844,1809.00000000,1.28499997,16.19000053
2021-08-31,92.62999725,4522.68017578,15259.24023438,1815.00000000,1.30400002,16.47999954
2021-09-01,92.44999695,4524.08984375,15309.37988281,1813.09997559,1.30200005,16.11000061
2021-09-02,92.23000336,4536.95019531,15331.17968750,1808.69995117,1.29400003,16.40999985
2021-09-03,92.04000092,4535.43017578,15363.51953125,1830.90002441,1.32200003,16.40999985
2021-09-07,92.51999664,4520.02978516,15374.33007812,1795.90002441,1.37000000,18.13999939
2021-09-08,92.65000153,4514.06982422,15286.63964844,1790.69995117,1.33399999,17.95999908
2021-09-09,92.48000336,4493.27978516,15248.25000000,1797.40002441,1.29900002,18.79999924
2021-09-10,92.58000183,4458.58007812,15115.49023438,1789.59997559,1.34099996,20.95000076
2021-09-13,92.62000275,4468.72998047,15105.58007812,1792.00000000,1.32400000,19.37000084
2021-09-14,92.65000153,4443.04980469,15037.75976562,1804.69995117,1.27699995,19.45999908
2021-09-15,92.48999786,4480.70019531,15161.53027344,1792.40002441,1.30400002,18.18000031
2021-09-16,92.86000061,4473.75000000,15181.91992188,1754.59997559,1.33099997,18.69000053
2021-09-17,93.19999695,4432.99023438,15043.96972656,1749.40002441,1.37000000,20.80999947
2021-09-20,93.23999786,4357.72998047,14713.90039062,1761.80004883,1.30900002,25.70999908
2021-09-21,93.19999695,4354.18994141,14746.40039062,1776.00000000,1.32400000,24.36000061
2021-09-22,93.45999908,4395.64013672,14896.84960938,1776.69995117,1.33599997,20.87000084
2021-09-23,93.09999847,4448.97998047,15052.24023438,1747.69995117,1.40999997,18.62999916
2021-09-24,93.33000183,4455.47998047,15047.70019531,1749.69995117,1.46000004,17.75000000
2021-09-27,93.37999725,4443.10986328,14969.96972656,1750.00000000,1.48399997,18.76000023
2021-09-28,93.76999664,4352.62988281,14546.67968750,1735.80004883,1.53400004,23.25000000
2021-09-29,94.33999634,4359.45996094,14512.44042969,1721.50000000,1.54100001,22.55999947
2021-09-30,94.25000000,4307.54003906,14448.58007812,1755.30004883,1.52900004,23.13999939
2021-10-01,94.04000092,4357.04003906,14566.70019531,1757.00000000,1.47899997,21.10000038
2021-10-04,93.80999756,4300.45996094,14255.48046875,1766.19995117,1.48099995,22.95999908
2021-10-05,93.98000336,4345.72021484,14433.83007812,1759.59997559,1.52900004,21.29999924
2021-10-06,94.26999664,4363.54980469,14501.91015625,1760.50000000,1.52400005,21.00000000
2021-10-07,94.22000122,4399.75976562,14654.01953125,1757.90002441,1.57099998,19.54000092
2021-10-08,94.06999969,4391.33984375,14579.54003906,1756.30004883,1.60500002,18.77000046
2021-10-11,94.31999969,4361.18994141,14486.20019531,1754.59997559,1.61399996,20.00000000
2021-10-12,94.51999664,4350.64990234,14465.91992188,1758.30004883,1.58000004,19.85000038
2021-10-13,94.08000183,4363.79980469,14571.63964844,1793.69995117,1.54900002,18.63999939
2021-10-14,93.95999908,4438.25976562,14823.42968750,1796.69995117,1.51900005,16.86000061
2021-10-15,93.94000244,4471.37011719,14897.33984375,1767.19995117,1.57599998,16.29999924
2021-10-18,93.94999695,4486.45996094,15021.80957031,1764.80004883,1.58399999,16.30999947
2021-10-19,93.79000092,4519.62988281,15129.08984375,1769.69995117,1.63499999,15.69999981
2021-10-20,93.55999756,4536.18994141,15121.67968750,1784.09997559,1.63600004,15.48999977
2021-10-21,93.76999664,4549.77978516,15215.70019531,1781.19995117,1.67600000,15.01000023
2021-10-22,93.61000061,4544.89990234,15090.20019531,1795.50000000,1.65499997,15.43000031
2021-10-25,93.80999756,4566.47998047,15226.70996094,1806.00000000,1.63499999,15.23999977
2021-10-26,93.94999695,4574.79003906,15235.70996094,1792.69995117,1.61899996,15.97999954
2021-10-27,93.86000061,4551.68017578,15235.83984375,1797.90002441,1.52900004,16.97999954
2021-10-28,93.34999847,4596.41992188,15448.12011719,1801.59997559,1.56799996,16.53000069
2021-10-29,94.12000275,4605.37988281,15498.38964844,1783.00000000,1.55700004,16.26000023
2021-11-01,93.87999725,4613.66992188,15595.91992188,1795.09997559,1.57500005,16.40999985
2021-11-02,94.08999634,4630.64990234,15649.59960938,1788.69995117,1.54900002,16.03000069
2021-11-03,93.86000061,4660.56982422,15811.58007812,1763.59997559,1.57900000,15.10000038
2021-11-04,94.34999847,4680.06005859,15940.30957031,1793.00000000,1.52400005,15.43999958
2021-11-05,94.31999969,4697.52978516,15971.58984375,1816.40002441,1.45299995,16.47999954
2021-11-08,94.05000305,4701.70019531,15982.36035156,1827.40002441,1.49699998,17.21999931
2021-11-09,93.95999908,4685.25000000,15886.54003906,1830.19995117,1.43200004,17.78000069
2021-11-10,94.84999847,4646.70996094,15622.70996094,1847.59997559,1.55999994,18.72999954
2021-11-11,95.18000031,4649.27001953,15704.28027344,1863.19995117,1.55999994,17.65999985
2021-11-12,95.12999725,4682.85009766,15860.95996094,1867.90002441,1.58200002,16.29000092
2021-11-15,95.41000366,4682.79980469,15853.84960938,1866.09997559,1.62300003,16.48999977
2021-11-16,95.91999817,4700.89990234,15973.86035156,1853.59997559,1.63399994,16.37000084
