rank,symbol,base,quote,price,change_24h_pct,high_24h,low_24h,volume_24h,quote_volume_24h,usd_volume_24h_approx,vwap_24h,trades_24h
1,USDCUSDT,USDC,USDT,1.00076000,-0.02300000,1.00103000,1.00070000,1488758785.00000000,1490120811.57080007,1490120811.57080007,1.00091487,395487
2,BTCUSDT,BTC,USDT,64343.60000000,1.87500000,64425.00000000,62716.00000000,13039.65981000,828974481.07734942,828974481.07734942,63573.32117220,1959193
3,ETHUSDT,ETH,USDT,1909.06000000,1.26700000,1915.50000000,1869.17000000,176502.11950000,334994358.30431700,334994358.30431700,1897.96224121,1459102
4,BTCUSDC,BTC,USDC,64296.00000000,1.90000000,64380.11000000,62656.26000000,4779.82068000,303429387.81484181,303429387.81484181,63481.33290533,263771
5,ETHUSDC,ETH,USDC,1907.61000000,1.28300000,1914.21000000,1867.22000000,85581.84630000,162381288.20673499,162381288.20673499,1897.38005461,157282
6,BTCUSD1,BTC,USD1,64351.38000000,1.90700000,64441.93000000,62702.88000000,1652.32688000,104984946.42781989,104967098.98692717,63537.63755742,233915
7,ETHUSD1,ETH,USD1,1909.32000000,1.30100000,1916.04000000,1868.94000000,54379.15520000,103195432.16658100,103177888.94311269,1897.70201076,189315
8,SOLUSDT,SOL,USDT,75.94000000,0.87700000,76.22000000,74.10000000,1326394.33800000,100044305.32362001,100044305.32362001,75.42576326,380528
9,USD1USDT,USD1,USDT,0.99983000,-0.03200000,1.00016000,0.99976000,88850510.00000000,88852830.67685001,88852830.67685001,1.00002612,123359
10,ZECUSDT,ZEC,USDT,510.68000000,4.04000000,520.00000000,485.10000000,116339.52900000,59080046.12152000,59080046.12152000,507.82435368,244719
11,USDTUSD,USD,TUSD,0.99910000,0.00500000,0.99910000,0.99864000,57311884.00000000,57247833.62583000,57247833.62583000,0.99888242,78941
12,XRPUSDT,XRP,USDT,1.00170000,0.08000000,1.00860000,0.98820000,52342660.90000000,52353691.04269000,52353691.04269000,1.00021073,201475
13,BNBUSDT,BNB,USDT,606.30000000,-0.01200000,608.00000000,601.01000000,85457.56800000,51698654.49008000,51698654.49008000,604.96285701,381816
14,TUTUSDT,TUT,USDT,0.04580000,41.53300000,0.06049000,0.03187000,1112542321.00000000,47959843.02721000,47959843.02721000,0.04310833,1215631
15,SNDKBUSDT,SNDKB,USDT,1792.77000000,7.66100000,1827.50000000,1654.73000000,23785.16380000,41414962.54559400,41414962.54559400,1741.20989428,92830
16,RLUSDUSDT,RLUSD,USDT,1.00100000,-0.02000000,1.00130000,1.00090000,41355850.00000000,41401390.49980000,41401390.49980000,1.00110119,4631
17,ACEUSDT,ACE,USDT,0.17660000,27.97100000,0.20500000,0.13200000,215249671.50000000,37692243.02836000,37692243.02836000,0.17510941,575285
18,PLUMEUSDT,PLUME,USDT,0.01260000,-5.47600000,0.01347000,0.01230000,2820414804.00000000,36308766.82508000,36308766.82508000,0.01287356,202731
19,XAUTUSDT,XAUT,USDT,4396.09000000,0.75100000,4409.00000000,4351.24000000,7933.31970000,34761322.53264900,34761322.53264900,4381.68684071,76940
20,GPSUSDT,GPS,USDT,0.01620000,60.23700000,0.01752000,0.00984000,2216596704.40000010,33929093.73830200,33929093.73830200,0.01530684,441185
21,PORTALUSDT,PORTAL,USDT,0.01546000,3.06700000,0.02000000,0.01465000,1578655547.59999990,27141512.39544400,27141512.39544400,0.01719280,424163
22,TRXUSDT,TRX,USDT,0.33100000,-0.36100000,0.33360000,0.32860000,81684882.00000000,27074843.29800000,27074843.29800000,0.33145476,51157
23,SPCXBUSDT,SPCXB,USDT,147.93000000,5.71000000,149.84000000,139.22000000,171051.69100000,24816695.31246000,24816695.31246000,145.08301653,118743
24,BFUSDUSDT,BFUSD,USDT,0.99930000,-0.04000000,1.00000000,0.99850000,24397299.00000000,24375703.31240000,24375703.31240000,0.99911483,10724
25,ALLOUSDT,ALLO,USDT,0.28010000,4.04900000,0.28680000,0.26170000,82090660.20000000,22488914.01587000,22488914.01587000,0.27395216,485722
26,USD1USDC,USD1,USDC,0.99900000,-0.02000000,0.99930000,0.99890000,21317489.00000000,21297805.63140000,21297805.63140000,0.99907666,21972
27,XPLUSDT,XPL,USDT,0.07676000,0.36600000,0.07759000,0.07399000,276835305.69999999,21167578.77736400,21167578.77736400,0.07646271,405802
28,BNBUSD1,BNB,USD1,606.43000000,0.02500000,608.14000000,600.93000000,33942.66700000,20533286.25512000,20529795.59645663,604.94027341,96700
29,DOGEUSDT,DOGE,USDT,0.07039000,0.54300000,0.07060000,0.06904000,282167244.00000000,19776779.48430000,19776779.48430000,0.07008886,146818
30,UUSDT,U,USDT,1.00040000,0.00000000,1.00060000,1.00030000,18303786.00000000,18311296.55240000,18311296.55240000,1.00041033,16918
31,WLDUSDT,WLD,USDT,0.35490000,-2.01500000,0.37010000,0.35190000,44981501.20000000,16203823.99307000,16203823.99307000,0.36023306,160080
32,SKHYBUSDT,SKHYB,USDT,175.56000000,4.34500000,178.36000000,166.84000000,90348.14100000,15655229.50996000,15655229.50996000,173.27671977,22421
33,ADAUSDT,ADA,USDT,0.17450000,-1.02100000,0.17930000,0.17250000,86550514.30000000,15203005.99115000,15203005.99115000,0.17565472,79137
34,LINKUSDT,LINK,USDT,9.50100000,0.74200000,9.58500000,9.34800000,1538543.84000000,14592718.19282000,14592718.19282000,9.48475943,200236
35,PAXGUSDT,PAXG,USDT,4409.61000000,0.67500000,4423.08000000,4365.54000000,3291.45910000,14477888.40870800,14477888.40870800,4398.62321507,31928
36,SOLUSDC,SOL,USDC,75.88000000,0.90400000,76.16000000,74.01000000,190268.36500000,14321803.01781000,14321803.01781000,75.27159346,40672
