rank,symbol,base,quote,price,change_24h_pct,high_24h,low_24h,volume_24h,quote_volume_24h,usd_volume_24h_approx,vwap_24h,trades_24h
37,PUMPUSDT,PUMP,USDT,0.00285300,4.04800000,0.00300400,0.00265600,4841718991.00000000,13884811.08167500,13884811.08167500,0.00286774,114669
38,EURIUSDT,EURI,USDT,1.15870000,0.14700000,1.16210000,1.15660000,11580820.90000000,13428774.06626000,13428774.06626000,1.15957014,500609
39,EURUSDT,EUR,USDT,1.15890000,0.12100000,1.16260000,1.15710000,11013183.70000000,12775556.07106000,12775556.07106000,1.16002388,20893
40,NEARUSDT,NEAR,USDT,1.61200000,0.06200000,1.65600000,1.58500000,7520917.60000000,12257551.82130000,12257551.82130000,1.62979472,75916
41,XRPUSDC,XRP,USDC,1.00080000,0.08000000,1.00760000,0.98740000,11548617.30000000,11557521.71612000,11557521.71612000,1.00077104,23038
42,MUBUSDT,MUB,USDT,1020.83000000,4.06100000,1035.95000000,974.05000000,11171.30400000,11298648.70674000,11298648.70674000,1011.39926966,24580
43,UUSDC,U,USDC,0.99970000,0.02000000,0.99970000,0.99930000,10909268.00000000,10903272.18200000,10903272.18200000,0.99945039,11255
44,HEMIUSDT,HEMI,USDT,0.00725000,26.30700000,0.00746000,0.00573000,1570489820.20000005,10294261.36018800,10294261.36018800,0.00655481,232044
45,FETUSDT,FET,USDT,0.12360000,-0.56300000,0.12550000,0.11920000,84375418.70000000,10281617.51073000,10281617.51073000,0.12185560,48263
46,UTKUSDT,UTK,USDT,0.00795000,16.22800000,0.02440000,0.00677000,750083995.00000000,10207948.62723000,10207948.62723000,0.01360907,136826
47,CHIPUSDT,CHIP,USDT,0.02880000,0.31300000,0.03291000,0.02738000,311668132.00000000,9409164.81808000,9409164.81808000,0.03018969,217863
48,XRPUSD1,XRP,USD1,1.00180000,0.10000000,1.00860000,0.98820000,8982053.70000000,8977011.05582000,8975484.96394051,0.99943859,35978
49,LTCUSDT,LTC,USDT,44.56000000,0.02200000,44.64000000,43.84000000,185105.90000000,8196137.40793000,8196137.40793000,44.27809923,73638
50,PEPEUSDT,PEPE,USDT,0.00000259,-0.76600000,0.00000263,0.00000253,3144259375197.00000000,8131022.27069312,8131022.27069312,0.00000259,23416
51,FDUSDUSDT,FDUSD,USDT,0.99790000,-0.01000000,0.99810000,0.99780000,7976358.00000000,7959920.39880000,7959920.39880000,0.99793921,10158
52,SNXXBUSDT,SNXXB,USDT,19.15000000,14.60200000,19.90000000,16.48000000,425751.42000000,7734916.31870000,7734916.31870000,18.16768179,18040
53,TONUSDT,TON,USDT,1.60000000,0.94600000,1.64100000,1.58000000,4800378.41000000,7717352.41982000,7717352.41982000,1.60765501,85935
54,USDCBUSD,USDC,BUSD,0.99990000,-0.01000000,1.00010000,0.99990000,7518551.91000000,7518495.59167800,7518495.59167800,0.99999251,4001
55,USDPBUSD,USDP,BUSD,1.00000000,0.01000000,1.00050000,0.99960000,7335780.67000000,7335563.41556900,7335563.41556900,0.99997038,3780
56,AVAXUSDT,AVAX,USDT,6.32600000,-0.50300000,6.40300000,6.27700000,1144075.51000000,7244242.30868000,7244242.30868000,6.33196170,83313
57,ONGUSDT,ONG,USDT,0.05391000,2.47100000,0.06460000,0.05143000,122241877.00000000,7090820.00705000,7090820.00705000,0.05800647,260211
58,SUIUSDT,SUI,USDT,0.67770000,0.03000000,0.68080000,0.66680000,9874192.60000000,6671928.98708000,6671928.98708000,0.67569362,63703
59,KAITOUSDT,KAITO,USDT,0.34650000,-0.34500000,0.37930000,0.32970000,18191385.70000000,6351101.77158000,6351101.77158000,0.34912688,116545
60,WLFIUSDT,WLFI,USDT,0.06020000,0.00000000,0.06140000,0.05830000,103652383.70000000,6236819.52415000,6236819.52415000,0.06017054,31493
61,UNIUSDT,UNI,USDT,3.29900000,-0.27200000,3.32100000,3.23600000,1855599.63000000,6094963.09946000,6094963.09946000,3.28463263,41335
62,GIGGLEUSDT,GIGGLE,USDT,34.80000000,8.85200000,35.83000000,31.18000000,179384.88800000,5942875.69576000,5942875.69576000,33.12918809,83165
63,TAOUSDT,TAO,USDT,195.60000000,-0.71100000,198.60000000,194.30000000,30028.77240000,5900680.01710000,5900680.01710000,196.50087385,31441
64,ONDOUSDT,ONDO,USDT,0.33620000,1.26500000,0.34230000,0.32650000,16998489.40000000,5717295.56064000,5717295.56064000,0.33634139,35488
65,MSTRBUSDT,MSTRB,USDT,97.00000000,2.95100000,98.32000000,93.00000000,59160.07500000,5612846.61391000,5612846.61391000,94.87558313,26826
66,EURUSDC,EUR,USDC,1.15800000,0.13800000,1.16150000,1.15610000,4722206.40000000,5473580.65963000,5473580.65963000,1.15911508,15892
67,CRCLBUSDT,CRCLB,USDT,74.77000000,3.73200000,75.39000000,70.83000000,73708.45000000,5417226.25130000,5417226.25130000,73.49532179,26725
68,FILUSDT,FIL,USDT,0.67020000,-1.71600000,0.68250000,0.65830000,7995186.83000000,5332037.97468500,5332037.97468500,0.66690599,61417
69,RVNUSDC,RVN,USDC,0.00373000,-2.35600000,0.00382000,0.00363000,1372863175.40000010,5164904.22264400,5164904.22264400,0.00376214,2822
70,SOLUSD1,SOL,USD1,75.95000000,0.90300000,76.24000000,74.10000000,67190.99300000,5061283.07294000,5060422.65481760,75.32680865,21104
71,HOMEUSDT,HOME,USDT,0.00678000,-7.50300000,0.00769000,0.00674000,711597498.00000000,5058860.28813000,5058860.28813000,0.00710916,33579
72,RAREUSDT,RARE,USDT,0.01236000,3.34400000,0.01373000,0.01178000,395197236.19999999,4984145.48215700,4984145.48215700,0.01261179,86434
73,EDENUSDT,EDEN,USDT,0.05046000,12.76000000,0.05596000,0.04252000,98203382.40000001,4878516.24485400,4878516.24485400,0.04967768,174280
74,BICOUSDT,BICO,USDT,0.02030000,-13.69000000,0.02404000,0.02020000,216617713.91000000,4844563.32813640,4844563.32813640,0.02236458,106666
75,XLMUSDT,XLM,USDT,0.15790000,0.00000000,0.15940000,0.15590000,30635147.00000000,4833823.07800000,4833823.07800000,0.15778684,34784
76,DEXEUSDT,DEXE,USDT,1.91400000,4.53300000,2.01900000,1.80000000,2440457.48000000,4689615.43717000,4689615.43717000,1.92161325,32641
77,BNBUSDC,BNB,USDC,605.87000000,0.02000000,607.52000000,600.57000000,7676.07300000,4641081.80648000,4641081.80648000,604.61668440,19708
78,AAVEUSDT,AAVE,USDT,87.92000000,1.22000000,88.55000000,85.33000000,53006.82400000,4600502.41312000,4600502.41312000,86.79075760,48306
79,BNBUSDP,BNB,USDP,282.09000000,1.81500000,565.47000000,258.07000000,16507.64000000,4593376.19702000,4597050.89797762,278.25759448,1841
80,SOXLBUSDT,SOXLB,USDT,154.29000000,6.29700000,156.84000000,144.29000000,28736.37300000,4374960.83717000,4374960.83717000,152.24471220,21065
81,ENAUSDT,ENA,USDT,0.08340000,-0.35800000,0.08460000,0.08110000,52344112.53000000,4355231.24424400,4355231.24424400,0.08320384,21987
82,APTUSDT,APT,USDT,0.52900000,-0.93600000,0.53400000,0.51500000,7970637.62000000,4158999.18015000,4158999.18015000,0.52179002,15912
83,ETHUSDP,ETH,USDP,1344.37000000,-14.54600000,1782.38000000,1229.64000000,2576.35860000,4003078.03100800,4006280.49343281,1553.77362104,3980
84,BELUSDT,BEL,USDT,0.10840000,-2.78000000,0.12900000,0.10640000,34096958.70000000,3957675.80058000,3957675.80058000,0.11607123,57248
85,DRAMBUSDT,DRAMB,USDT,60.87000000,5.23900000,62.00000000,57.41000000,64582.57000000,3865023.97670000,3865023.97670000,59.84623989,19454
86,NFPUSDT,NFP,USDT,0.00181000,-66.16800000,0.00570000,0.00168000,1017507194.00000000,3834002.83185000,3834002.83185000,0.00376804,65822
87,ALICEUSDT,ALICE,USDT,0.13090000,-8.78000000,0.14580000,0.12950000,28039025.92000000,3821529.60657800,3821529.60657800,0.13629324,35187
88,REUSDT,RE,USDT,0.41750000,-7.18100000,0.45000000,0.40760000,8765448.10000000,3706996.86636000,3706996.86636000,0.42291014,62490
89,BTCUSDP,BTC,USDP,19435.03000000,2.16900000,22755.54000000,18000.00000000,181.51433000,3667991.89674670,3670926.29026410,20207.72628115,4000
90,HBARUSDT,HBAR,USDT,0.06602000,1.21100000,0.06638000,0.06429000,55312394.00000000,3627897.84082000,3627897.84082000,0.06558924,32289
91,POLUSDT,POL,USDT,0.07911000,5.21300000,0.07927000,0.07460000,46108295.50000000,3542348.88851200,3542348.88851200,0.07682672,46581
92,TSTUSDT,TST,USDT,0.01561000,9.85200000,0.01650000,0.01385000,228618348.00000000,3458381.26867100,3458381.26867100,0.01512731,46218
93,ETHFIUSDT,ETHFI,USDT,0.49250000,-2.97500000,0.51590000,0.48740000,6867417.40000000,3453139.63014000,3453139.63014000,0.50282944,56822
94,INJUSDT,INJ,USDT,4.12300000,-0.41100000,4.19100000,4.03600000,833927.14000000,3429197.83147000,3429197.83147000,4.11210724,46016
95,ZECUSDC,ZEC,USDC,510.35000000,4.02400000,519.37000000,484.68000000,6619.65200000,3356889.68104000,3356889.68104000,507.10969112,15859
96,WBTCUSDT,WBTC,USDT,64321.74000000,1.79600000,64424.92000000,62746.99000000,51.36822000,3260903.76280490,3260903.76280490,63480.95695753,7220
97,ETHAEUR,ETH,AEUR,2700.00000000,-21.33100000,3652.60000000,2700.00000000,842.11070000,2844014.33183200,3254405.59991536,3377.24521471,4000
98,XAIUSDT,XAI,USDT,0.00700000,-3.04700000,0.00774000,0.00684000,444312462.19999999,3232748.17930500,3232748.17930500,0.00727584,36491
99,PENGUUSDT,PENGU,USDT,0.00595500,-1.35800000,0.00603700,0.00585000,532887238.00000000,3172247.23696600,3172247.23696600,0.00595294,44410
100,BMTUSDT,BMT,USDT,0.01664000,11.60300000,0.01698000,0.01460000,200341952.00000000,3149979.33759400,3149979.33759400,0.01572301,74559
101,EULUSDT,EUL,USDT,1.15700000,3.11900000,1.27000000,1.05300000,2665195.45000000,3118372.48839000,3118372.48839000,1.17003520,76861
102,BCHUSDT,BCH,USDT,205.10000000,0.34200000,205.90000000,201.90000000,14856.06200000,3039548.87860000,3039548.87860000,204.59990532,18391
103,MORPHOUSDT,MORPHO,USDT,2.11800000,5.74100000,2.16800000,1.98700000,1398043.26000000,2912467.14927000,2912467.14927000,2.08324537,35686
104,LRCUSDT,LRC,USDT,0.01879000,-6.23800000,0.02200000,0.01830000,145220144.00000000,2891184.21049000,2891184.21049000,0.01990897,64006
105,GRAMUSDT,GRAM,USDT,1.32800000,-1.33700000,1.34800000,1.32000000,2167034.08000000,2888687.78207000,2888687.78207000,1.33301447,15971
106,MUBARAKUSDT,MUBARAK,USDT,0.01760000,7.05600000,0.01859000,0.01644000,164165694.09999999,2880405.00706800,2880405.00706800,0.01754572,71741
107,CRVUSDT,CRV,USDT,0.24640000,-2.22200000,0.25440000,0.24130000,11598296.10000000,2879893.15961000,2879893.15961000,0.24830312,28617
108,COWUSDT,COW,USDT,0.10960000,-10.89400000,0.12350000,0.10810000,25254975.40000000,2871616.69739000,2871616.69739000,0.11370499,28745
109,GUNUSDT,GUN,USDT,0.00295000,-1.66700000,0.00365000,0.00294000,897174909.00000000,2868868.22688000,2868868.22688000,0.00319767,51989
110,BNBETH,BN,BETH,0.31750000,-1.27500000,0.32270000,0.31720000,5732.00500000,1829.77097500,2847617.67526325,0.31922006,12604
111,NILUSDT,NIL,USDT,0.04572000,-0.82400000,0.05202000,0.04492000,58157632.60000000,2792978.18019500,2792978.18019500,0.04802428,89234
112,BANKUSDT,BANK,USDT,0.03570000,-1.92300000,0.03670000,0.03460000,78132488.90000001,2791376.05855000,2791376.05855000,0.03572619,15282
113,DODOUSDT,DODO,USDT,0.02124000,0.71100000,0.02353000,0.02106000,124380844.59999999,2778768.35412900,2778768.35412900,0.02234081,31679
114,ICPUSDT,ICP,USDT,2.26300000,-0.78900000,2.32400000,2.22500000,1199823.50000000,2727446.08971000,2727446.08971000,2.27320609,21218
115,DIAUSDT,DIA,USDT,0.12830000,4.56400000,0.14860000,0.12220000,19761455.60000000,2692414.37974000,2692414.37974000,0.13624575,77223
116,SOPHUSDT,SOPH,USDT,0.00351000,-4.87800000,0.00459000,0.00349000,641869866.00000000,2541843.78434000,2541843.78434000,0.00396006,44185
117,USTCBUSD,USTC,BUSD,0.01326580,-2.09300000,0.01381000,0.01297734,192468822.00000000,2521732.50517429,2521732.50517429,0.01310203,4000
118,EUREURI,EUR,EURI,1.00010000,-0.02000000,1.00050000,1.00000000,2138838.90000000,2139423.30766000,2478949.78658564,1.00027324,5528
119,LINKUSDC,LINK,USDC,9.49500000,0.78500000,9.56700000,9.33700000,261559.60000000,2475470.57538000,2475470.57538000,9.46426962,22387
120,TRUMPUSDT,TRUMP,USDT,1.40600000,-0.84600000,1.42100000,1.39100000,1726542.73800000,2426303.01423400,2426303.01423400,1.40529566,23875
121,ZAMAUSDT,ZAMA,USDT,0.04206000,1.03300000,0.04320000,0.04101000,57504575.00000000,2421895.00047000,2421895.00047000,0.04211656,41058
122,NEARUSDC,NEAR,USDC,1.61000000,0.12400000,1.65400000,1.58400000,1470720.80000000,2396621.19580000,2396621.19580000,1.62955552,7396
123,VIRTUALUSDT,VIRTUAL,USDT,0.57780000,3.54800000,0.59250000,0.54890000,4199800.60000000,2395906.50145000,2395906.50145000,0.57048101,32703
124,JSTUSDT,JST,USDT,0.10874000,0.44300000,0.10989000,0.10733000,21727288.30000000,2364101.93704000,2364101.93704000,0.10880796,30315
125,TUTUSDC,TUT,USDC,0.04576000,41.45300000,0.06039000,0.03181000,54087711.00000000,2346826.14711000,2346826.14711000,0.04338927,28194
126,币安人生USDT,币安人生,USDT,0.47080000,-5.87800000,0.50150000,0.46000000,4935708.50000000,2336421.09797000,2336421.09797000,0.47337097,29288
127,HFTUSDT,HFT,USDT,0.00711000,6.02400000,0.00999900,0.00598500,286894635.30000001,2328017.22244950,2328017.22244950,0.00811454,95178
128,VANRYUSDT,VANRY,USDT,0.00074000,-37.12800000,0.00141400,0.00071000,2200183159.00000000,2320295.24418500,2320295.24418500,0.00105459,75293
129,TUSDBUSD,TUSD,BUSD,0.99660000,-0.15000000,0.99880000,0.98110000,2322140.00000000,2317740.65050000,2317740.65050000,0.99810548,4000
130,LUMIAUSDT,LUMIA,USDT,0.08290000,0.72900000,0.09530000,0.08110000,26159983.72000000,2313044.63377500,2313044.63377500,0.08841919,75956
131,ASTERUSDT,ASTER,USDT,0.60100000,-0.16600000,0.60300000,0.59700000,3801347.91000000,2282086.17036000,2282086.17036000,0.60033605,9441
132,EWYBUSDT,EWYB,USDT,186.35000000,2.99000000,190.02000000,180.10000000,12265.96000000,2273731.84271000,2273731.84271000,185.36925301,8408
133,DOTUSDT,DOT,USDT,0.75700000,-0.65600000,0.77000000,0.75300000,2976052.42000000,2262256.51671000,2262256.51671000,0.76015345,9086
134,XUSDUSDT,XUSD,USDT,1.00090000,-0.02000000,1.00130000,1.00090000,2241738.00000000,2244365.70580000,2244365.70580000,1.00117217,318
135,GOOGLBUSDT,GOOGLB,USDT,343.43000000,-1.49400000,349.97000000,342.50000000,6482.46200000,2242740.91551000,2242740.91551000,345.97054568,18259
136,SHIBUSDT,SHIB,USDT,0.00000447,-0.22300000,0.00000451,0.00000437,501211138526.00000000,2227638.92551076,2227638.92551076,0.00000444,14778
137,PUMPUSDC,PUMP,USDC,0.00285100,4.05100000,0.00299900,0.00265400,753935046.00000000,2159166.25123200,2159166.25123200,0.00286386,17618
138,ADAUSDC,ADA,USDC,0.17430000,-1.02200000,0.17910000,0.17230000,12045145.30000000,2112727.69759000,2112727.69759000,0.17540076,11981
139,ZBTUSDT,ZBT,USDT,0.07660000,-9.34900000,0.08450000,0.07630000,26421381.90000000,2099551.22150000,2099551.22150000,0.07946410,20651
140,GBPBUSD,GBP,BUSD,1.23900000,2.39700000,1.30500000,1.20700000,1628848.20000000,2003840.69080000,2003840.69080000,1.23021942,4000
141,ARBUSDT,ARB,USDT,0.07560000,1.61300000,0.07570000,0.07270000,26711169.20000000,1993428.58874000,1993428.58874000,0.07462903,12081
142,PROMUSDT,PROM,USDT,2.01600000,-7.98700000,2.23300000,1.95000000,952244.41000000,1993163.62889000,1993163.62889000,2.09312190,14868
143,HEIUSDT,HEI,USDT,0.13430000,-0.07400000,0.13620000,0.12800000,14680937.90000000,1946512.56082000,1946512.56082000,0.13258775,48387
144,ONTUSDT,ONT,USDT,0.03771000,-3.75200000,0.04096000,0.03760000,48849400.00000000,1924428.80638000,1924428.80638000,0.03939514,27310
145,TLMUSDT,TLM,USDT,0.00140900,-11.04800000,0.00160100,0.00133600,1306935788.00000000,1889169.60697800,1889169.60697800,0.00144550,41561
146,COTIUSDT,COTI,USDT,0.01015000,-5.05100000,0.01102000,0.01006000,179436393.00000000,1880220.33387000,1880220.33387000,0.01047848,27684
147,KORUBUSDT,KORUB,USDT,24.00000000,8.64600000,25.35000000,21.75000000,80776.63000000,1875969.06660000,1875969.06660000,23.22415613,5626
148,TRXTUSD,TRX,TUSD,0.05986000,0.55400000,0.08510000,0.05838000,31456162.60000000,1872867.36154300,1872867.36154300,0.05953896,4000
149,TRXUSDC,TRX,USDC,0.33070000,-0.33200000,0.33340000,0.32830000,5629526.90000000,1863501.52416000,1863501.52416000,0.33102276,9373
150,BFUSDUSDC,BFUSD,USDC,0.99810000,-0.04000000,0.99970000,0.99800000,1865707.00000000,1862912.15470000,1862912.15470000,0.99850199,6000
151,DUSDT,D,USDT,0.00461000,-13.83200000,0.00600000,0.00442000,361993662.00000000,1832194.32076000,1832194.32076000,0.00506140,28386
152,ROBOUSDT,ROBO,USDT,0.01333000,-13.04600000,0.01572000,0.01323000,127455402.00000000,1831865.03933000,1831865.03933000,0.01437260,39640
153,MRVLBUSDT,MRVLB,USDT,236.63000000,6.64800000,240.00000000,221.50000000,7775.03000000,1798606.35804000,1798606.35804000,231.33111487,18869
154,HAEDALUSDT,HAEDAL,USDT,0.01646000,-2.83400000,0.01991000,0.01634000,99406099.80000000,1767996.66665900,1767996.66665900,0.01778560,39789
155,XRPTUSD,XRP,TUSD,1.31780000,-39.07500000,2.40990000,1.12510000,1089739.20000000,1737413.38750000,1737413.38750000,1.59433871,4000
156,MMTUSDT,MMT,USDT,0.16920000,-5.26300000,0.18180000,0.16810000,9764814.40000000,1721553.12853000,1721553.12853000,0.17630167,28485
157,LDOUSDT,LDO,USDT,0.30370000,-1.42800000,0.30860000,0.29790000,5650706.24000000,1716026.91595400,1716026.91595400,0.30368362,29208
158,PIXELUSDT,PIXEL,USDT,0.00472000,-1.66700000,0.00509000,0.00464000,353561998.69999999,1710775.89240500,1710775.89240500,0.00483869,19739
159,BUSDUSDT,BUSD,USDT,1.00030000,-0.03000000,1.00130000,1.00020000,1691539.00000000,1692463.33920000,1692463.33920000,1.00054645,4001
160,SOLTUSD,SOL,TUSD,85.03000000,21.21200000,97.54000000,67.79000000,20109.42800000,1672648.08978000,1672648.08978000,83.17730817,4000
161,AUDUSDC,AUD,USDC,0.64770000,-0.75100000,0.69330000,0.63400000,2547764.00000000,1662451.34170000,1662451.34170000,0.65251387,4000
162,DOLOUSDT,DOLO,USDT,0.02359000,-3.91000000,0.02507000,0.02236000,70336527.40000001,1650586.62003300,1650586.62003300,0.02346699,39942
163,ATOMUSDT,ATOM,USDT,1.41400000,-3.81000000,1.47400000,1.40700000,1136722.76000000,1639784.35948000,1639784.35948000,1.44255435,10485
164,RNDRUSDT,RNDR,USDT,7.03000000,2.58300000,7.10500000,6.84300000,233254.93000000,1634692.17740000,1634692.17740000,7.00817847,4001
165,COHRBUSDT,COHRB,USDT,359.99000000,8.44400000,362.10000000,327.55000000,4738.50900000,1623763.81378000,1623763.81378000,342.67399593,11040
166,AXTIBUSDT,AXTIB,USDT,97.60000000,19.99000000,97.70000000,80.87000000,18437.43000000,1608377.00790000,1608377.00790000,87.23433840,15666
167,SOXSBUSDT,SOXSB,USDT,37.67000000,-6.36300000,40.44000000,36.91000000,41765.89000000,1603077.39590000,1603077.39590000,38.38245506,5456
168,LTCBUSD,LTC,BUSD,72.37000000,0.51400000,73.94000000,69.77000000,22114.63800000,1601692.69512000,1601692.69512000,72.42681047,4000
169,EPICUSDT,EPIC,USDT,0.36700000,-1.52900000,0.37680000,0.34060000,4458312.90000000,1585541.24155000,1585541.24155000,0.35563705,45229
170,FTMUSDC,FTM,USDC,0.69860000,-0.31400000,0.72470000,0.68770000,2238710.00000000,1579765.25720000,1579765.25720000,0.70565873,4000
171,JTOUSDT,JTO,USDT,0.58940000,-0.28800000,0.62470000,0.57590000,2614449.70000000,1577825.28215000,1577825.28215000,0.60350187,53408
172,ZKUSDT,ZK,USDT,0.00775000,2.51300000,0.00815000,0.00736000,196102499.50000000,1538191.81977300,1538191.81977300,0.00784382,21690
173,COCOSUSDT,COCOS,USDT,1.75460000,3.44300000,1.76980000,1.69210000,889158.00000000,1531715.94240000,1531715.94240000,1.72265890,4001
174,GPSUSDC,GPS,USDC,0.01619000,61.25500000,0.01749000,0.00987000,98254522.50000000,1505454.62927400,1505454.62927400,0.01532199,11282
175,POLYUSDT,POLY,USDT,0.26960000,0.52200000,0.27300000,0.26370000,5552157.10000000,1490337.78753000,1490337.78753000,0.26842500,4001
176,RUNEBUSD,RUNE,BUSD,5.46200000,-17.80300000,6.75800000,5.41600000,233998.10000000,1485511.52180000,1485511.52180000,6.34839138,4000
177,FDUSDUSDC,FDUSD,USDC,0.99730000,0.03000000,0.99730000,0.99680000,1487150.00000000,1482732.51500000,1482732.51500000,0.99702956,2801
178,FDUSDBUSD,FDUSD,BUSD,1.00000000,-0.01000000,1.00080000,0.99940000,1478698.00000000,1478797.24420000,1478797.24420000,1.00006712,4001
179,NXPCUSDT,NXPC,USDT,0.20450000,6.01300000,0.21330000,0.19150000,7189736.40000000,1473701.14321000,1473701.14321000,0.20497290,37727
180,PHBUSDT,PHB,USDT,0.01500000,-69.38800000,0.05900000,0.01500000,41607805.80000000,1466449.09970000,1466449.09970000,0.03524457,14792
