time,n_symbols,total_oi_value,mean,median,std,q25,q75,btc_oi_value,btc_share,btc_pctile,total_oi_chg_24h_pct
2026-07-18 19:00:00,1,1280387.83438788,1280387.83438788,1280387.83438788,,1280387.83438788,1280387.83438788,,,0.00000000,
2026-07-18 23:00:00,1,1315488.04569000,1315488.04569000,1315488.04569000,,1315488.04569000,1315488.04569000,,,0.00000000,
2026-07-19 00:00:00,1,1310563.85880000,1310563.85880000,1310563.85880000,,1310563.85880000,1310563.85880000,,,0.00000000,
2026-07-19 08:00:00,1,1296093.73740000,1296093.73740000,1296093.73740000,,1296093.73740000,1296093.73740000,,,0.00000000,
2026-07-19 12:00:00,1,1265649.39774223,1265649.39774223,1265649.39774223,,1265649.39774223,1265649.39774223,,,0.00000000,
2026-07-19 14:00:00,1,1275557.09650000,1275557.09650000,1275557.09650000,,1275557.09650000,1275557.09650000,,,0.00000000,
2026-07-19 17:00:00,1,1413361.44779333,1413361.44779333,1413361.44779333,,1413361.44779333,1413361.44779333,,,0.00000000,
2026-07-19 18:00:00,1,1376980.77184790,1376980.77184790,1376980.77184790,,1376980.77184790,1376980.77184790,,,0.00000000,
2026-07-20 04:00:00,1,1342943.77624283,1342943.77624283,1342943.77624283,,1342943.77624283,1342943.77624283,,,0.00000000,
2026-07-20 08:00:00,1,1315851.52277172,1315851.52277172,1315851.52277172,,1315851.52277172,1315851.52277172,,,0.00000000,
2026-07-20 09:00:00,1,1253194.71932907,1253194.71932907,1253194.71932907,,1253194.71932907,1253194.71932907,,,0.00000000,
2026-07-20 11:00:00,1,1259482.26819069,1259482.26819069,1259482.26819069,,1259482.26819069,1259482.26819069,,,0.00000000,
2026-07-20 12:00:00,1,1312004.43090000,1312004.43090000,1312004.43090000,,1312004.43090000,1312004.43090000,,,0.00000000,
2026-07-20 14:00:00,1,1229759.53822242,1229759.53822242,1229759.53822242,,1229759.53822242,1229759.53822242,,,0.00000000,
2026-07-20 15:00:00,1,1304017.32800038,1304017.32800038,1304017.32800038,,1304017.32800038,1304017.32800038,,,0.00000000,
2026-07-20 16:00:00,1,1365998.00611781,1365998.00611781,1365998.00611781,,1365998.00611781,1365998.00611781,,,0.00000000,
2026-07-20 17:00:00,1,1335061.79768023,1335061.79768023,1335061.79768023,,1335061.79768023,1335061.79768023,,,0.00000000,
2026-07-20 18:00:00,1,1323350.74641218,1323350.74641218,1323350.74641218,,1323350.74641218,1323350.74641218,,,0.00000000,
2026-07-21 04:00:00,1,1130298.37696894,1130298.37696894,1130298.37696894,,1130298.37696894,1130298.37696894,,,0.00000000,
2026-07-21 06:00:00,1,1119812.10869197,1119812.10869197,1119812.10869197,,1119812.10869197,1119812.10869197,,,0.00000000,
2026-07-21 07:00:00,1,1113483.73934000,1113483.73934000,1113483.73934000,,1113483.73934000,1113483.73934000,,,0.00000000,
2026-07-21 08:00:00,1,1060634.17486094,1060634.17486094,1060634.17486094,,1060634.17486094,1060634.17486094,,,0.00000000,
2026-07-21 09:00:00,1,1065529.61562712,1065529.61562712,1065529.61562712,,1065529.61562712,1065529.61562712,,,0.00000000,
2026-07-21 10:00:00,1,1066875.17157158,1066875.17157158,1066875.17157158,,1066875.17157158,1066875.17157158,,,0.00000000,
2026-07-21 14:00:00,1,1105071.41537811,1105071.41537811,1105071.41537811,,1105071.41537811,1105071.41537811,,,0.00000000,-13.69244648
2026-07-21 17:00:00,1,1184989.61120000,1184989.61120000,1184989.61120000,,1184989.61120000,1184989.61120000,,,0.00000000,-9.92015358
2026-07-21 18:00:00,1,1259110.99575423,1259110.99575423,1259110.99575423,,1259110.99575423,1259110.99575423,,,0.00000000,-3.92600961
2026-07-21 19:00:00,1,1208900.55311690,1208900.55311690,1208900.55311690,,1208900.55311690,1208900.55311690,,,0.00000000,-6.72738258
2026-07-21 21:00:00,1,1193272.10628000,1193272.10628000,1193272.10628000,,1193272.10628000,1193272.10628000,,,0.00000000,-5.71858933
2026-07-21 22:00:00,1,1191318.08313233,1191318.08313233,1191318.08313233,,1191318.08313233,1191318.08313233,,,0.00000000,-6.60409586
2026-07-21 23:00:00,1,1171015.43854319,1171015.43854319,1171015.43854319,,1171015.43854319,1171015.43854319,,,0.00000000,-17.14678221
2026-07-22 02:00:00,1,1040623.23913242,1040623.23913242,1040623.23913242,,1040623.23913242,1040623.23913242,,,0.00000000,-24.42717717
2026-07-22 04:00:00,1,1036411.86645290,1036411.86645290,1036411.86645290,,1036411.86645290,1036411.86645290,,,0.00000000,-22.82537178
2026-07-22 11:00:00,1,1027053.85317354,1027053.85317354,1027053.85317354,,1027053.85317354,1027053.85317354,,,0.00000000,-21.94758790
2026-07-22 13:00:00,1,1008723.59085277,1008723.59085277,1008723.59085277,,1008723.59085277,1008723.59085277,,,0.00000000,-19.50783264
2026-07-22 14:00:00,1,1016201.68659648,1016201.68659648,1016201.68659648,,1016201.68659648,1016201.68659648,,,0.00000000,-19.31591954
2026-07-22 15:00:00,1,1021220.60349126,1021220.60349126,1021220.60349126,,1021220.60349126,1021220.60349126,,,0.00000000,-22.16332663
2026-07-22 19:00:00,1,1104103.61339043,1104103.61339043,1104103.61339043,,1104103.61339043,1104103.61339043,,,0.00000000,-10.21792643
2026-07-22 22:00:00,1,1099322.13736953,1099322.13736953,1099322.13736953,,1099322.13736953,1099322.13736953,,,0.00000000,-15.69727535
2026-07-23 01:00:00,1,1071019.11345369,1071019.11345369,1071019.11345369,,1071019.11345369,1071019.11345369,,,0.00000000,-21.59438677
2026-07-23 05:00:00,1,997951.38804342,997951.38804342,997951.38804342,,997951.38804342,997951.38804342,,,0.00000000,-25.25054722
2026-07-23 07:00:00,1,991746.06643744,991746.06643744,991746.06643744,,991746.06643744,991746.06643744,,,0.00000000,-25.05795843
2026-07-23 13:00:00,1,1206246.92208000,1206246.92208000,1206246.92208000,,1206246.92208000,1206246.92208000,,,0.00000000,6.71933594
2026-07-23 14:00:00,1,1696706.00429458,1696706.00429458,1696706.00429458,,1696706.00429458,1696706.00429458,,,0.00000000,51.51702604
2026-07-23 15:00:00,1,1729380.17001444,1729380.17001444,1729380.17001444,,1729380.17001444,1729380.17001444,,,0.00000000,55.31256622
2026-07-23 16:00:00,1,1767792.79720000,1767792.79720000,1767792.79720000,,1767792.79720000,1767792.79720000,,,0.00000000,66.67318847
2026-07-23 17:00:00,1,1808279.03250000,1808279.03250000,1808279.03250000,,1808279.03250000,1808279.03250000,,,0.00000000,69.70706454
2026-07-23 18:00:00,1,1811625.82093364,1811625.82093364,1811625.82093364,,1811625.82093364,1811625.82093364,,,0.00000000,69.80672802
2026-07-23 20:00:00,1,1798274.97813736,1798274.97813736,1798274.97813736,,1798274.97813736,1798274.97813736,,,0.00000000,62.72929995
2026-07-23 22:00:00,1,1790242.48729149,1790242.48729149,1790242.48729149,,1790242.48729149,1790242.48729149,,,0.00000000,51.07663986
2026-07-23 23:00:00,1,1786845.29520000,1786845.29520000,1786845.29520000,,1786845.29520000,1786845.29520000,,,0.00000000,41.91324682
2026-07-24 00:00:00,1,1816204.09162448,1816204.09162448,1816204.09162448,,1816204.09162448,1816204.09162448,,,0.00000000,50.23602123
2026-07-24 03:00:00,1,1726189.88272555,1726189.88272555,1726189.88272555,,1726189.88272555,1726189.88272555,,,0.00000000,44.66020563
2026-07-24 04:00:00,1,1737069.51037170,1737069.51037170,1737069.51037170,,1737069.51037170,1737069.51037170,,,0.00000000,45.81072301
2026-07-24 05:00:00,1,1717471.07220000,1717471.07220000,1717471.07220000,,1717471.07220000,1717471.07220000,,,0.00000000,46.66510924
2026-07-24 06:00:00,1,1727338.92212817,1727338.92212817,1727338.92212817,,1727338.92212817,1727338.92212817,,,0.00000000,65.99080793
2026-07-24 07:00:00,1,1753535.89566811,1753535.89566811,1753535.89566811,,1753535.89566811,1753535.89566811,,,0.00000000,69.19295817
2026-07-24 08:00:00,1,1534426.09794000,1534426.09794000,1534426.09794000,,1534426.09794000,1534426.09794000,,,0.00000000,49.40074400
2026-07-24 11:00:00,1,1566754.57432072,1566754.57432072,1566754.57432072,,1566754.57432072,1566754.57432072,,,0.00000000,55.32050490
2026-07-24 12:00:00,1,1577907.94617505,1577907.94617505,1577907.94617505,,1577907.94617505,1577907.94617505,,,0.00000000,55.27507649
2026-07-24 13:00:00,1,1565883.56144000,1565883.56144000,1565883.56144000,,1565883.56144000,1565883.56144000,,,0.00000000,53.33450540
2026-07-24 14:00:00,1,1778214.68640840,1778214.68640840,1778214.68640840,,1778214.68640840,1778214.68640840,,,0.00000000,61.05505542
2026-07-24 15:00:00,1,1858850.14202912,1858850.14202912,1858850.14202912,,1858850.14202912,1858850.14202912,,,0.00000000,69.09057671
2026-07-24 16:00:00,1,1562600.99574000,1562600.99574000,1562600.99574000,,1562600.99574000,1562600.99574000,,,0.00000000,45.89851629
2026-07-24 17:00:00,1,1602588.21300000,1602588.21300000,1602588.21300000,,1602588.21300000,1602588.21300000,,,0.00000000,60.58780339
2026-07-24 18:00:00,1,1577634.61465827,1577634.61465827,1577634.61465827,,1577634.61465827,1577634.61465827,,,0.00000000,59.07646806
2026-07-24 19:00:00,1,1675259.38446110,1675259.38446110,1675259.38446110,,1675259.38446110,1675259.38446110,,,0.00000000,38.88196138
2026-07-24 20:00:00,1,1678295.24732284,1678295.24732284,1678295.24732284,,1678295.24732284,1678295.24732284,,,0.00000000,-1.08508822
2026-07-24 21:00:00,1,1681915.67850000,1681915.67850000,1681915.67850000,,1681915.67850000,1681915.67850000,,,0.00000000,-2.74459557
2026-07-24 22:00:00,1,1780676.81731648,1780676.81731648,1780676.81731648,,1780676.81731648,1780676.81731648,,,0.00000000,0.72881958
2026-07-25 00:00:00,1,1731113.34132779,1731113.34132779,1731113.34132779,,1731113.34132779,1731113.34132779,,,0.00000000,-4.26735530
2026-07-25 01:00:00,1,1585951.79809758,1585951.79809758,1585951.79809758,,1585951.79809758,1585951.79809758,,,0.00000000,-12.45698865
2026-07-25 05:00:00,1,1719466.28657221,1719466.28657221,1719466.28657221,,1719466.28657221,1719466.28657221,,,0.00000000,-4.38246055
2026-07-25 08:00:00,1,1703332.74872000,1703332.74872000,1703332.74872000,,1703332.74872000,1703332.74872000,,,0.00000000,-4.85463501
2026-07-25 09:00:00,1,1644736.65295056,1644736.65295056,1644736.65295056,,1644736.65295056,1644736.65295056,,,0.00000000,-7.95304678
2026-07-25 11:00:00,1,1685286.21896456,1685286.21896456,1685286.21896456,,1685286.21896456,1685286.21896456,,,0.00000000,-7.20832385
2026-07-25 12:00:00,1,1647881.55000000,1647881.55000000,1647881.55000000,,1647881.55000000,1647881.55000000,,,0.00000000,-4.53648428
2026-07-25 14:00:00,2,1892787.25944184,946393.62972092,946393.62972092,1045029.77565155,576919.80926838,1315867.45017345,,,0.00000000,8.96439366
2026-07-25 15:00:00,1,210221.59159385,210221.59159385,210221.59159385,,210221.59159385,210221.59159385,,,0.00000000,-87.75981762
2026-07-25 16:00:00,1,205956.36138013,205956.36138013,205956.36138013,,205956.36138013,205956.36138013,,,0.00000000,-88.07666760
2026-07-25 17:00:00,1,197504.15040000,197504.15040000,197504.15040000,,197504.15040000,197504.15040000,,,0.00000000,-88.73680597
2026-07-25 18:00:00,1,1624364.15470878,1624364.15470878,1624364.15470878,,1624364.15470878,1624364.15470878,,,0.00000000,5.86134822
2026-07-25 19:00:00,1,1568879.09350000,1568879.09350000,1568879.09350000,,1568879.09350000,1568879.09350000,,,0.00000000,0.13560000
