time,n_symbols,mean,median,std,q05,q25,q75,q95,min,max,range,pct_long_crowded,pct_short_crowded,mean_abs,skew,btc_funding,btc_pctile,btc_z,eth_funding,eth_pctile,eth_z
2019-09-10 08:00:00,1,0.00010000,0.00010000,,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00000000,0.00000000,0.00000000,0.00010000,,0.00010000,0.01000000,,,0.00000000,
2019-09-10 16:00:00,1,0.00010000,0.00010000,,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00000000,0.00000000,0.00000000,0.00010000,,0.00010000,0.01000000,,,0.00000000,
2019-09-11 00:00:00,1,0.00010000,0.00010000,,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00000000,0.00000000,0.00000000,0.00010000,,0.00010000,0.01000000,,,0.00000000,
2019-09-11 08:00:00,1,0.00010000,0.00010000,,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00000000,0.00000000,0.00000000,0.00010000,,0.00010000,0.01000000,,,0.00000000,
2019-09-11 16:00:00,1,0.00010000,0.00010000,,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00000000,0.00000000,0.00000000,0.00010000,,0.00010000,0.01000000,,,0.00000000,
2019-09-12 00:00:00,1,0.00010000,0.00010000,,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00000000,0.00000000,0.00000000,0.00010000,,0.00010000,0.01000000,,,0.00000000,
2019-09-12 08:00:00,1,0.00010000,0.00010000,,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00000000,0.00000000,0.00000000,0.00010000,,0.00010000,0.01000000,,,0.00000000,
2019-09-12 16:00:00,1,0.00010000,0.00010000,,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00000000,0.00000000,0.00000000,0.00010000,,0.00010000,0.01000000,,,0.00000000,
2019-09-13 00:00:00,1,0.00010000,0.00010000,,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00000000,0.00000000,0.00000000,0.00010000,,0.00010000,0.01000000,,,0.00000000,
2019-09-13 08:00:00,1,0.00010000,0.00010000,,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00000000,0.00000000,0.00000000,0.00010000,,0.00010000,0.01000000,,,0.00000000,
2019-09-13 16:00:00,1,0.00010000,0.00010000,,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00010000,0.00000000,0.00000000,0.00000000,0.00010000,,0.00010000,0.01000000,,,0.00000000,
