rank,symbol,base,quote,price,change_24h_pct,high_24h,low_24h,volume_24h,quote_volume_24h,markPrice,lastFundingRate,trades_24h
1,BTCUSDT,BTC,USDT,64307.70000000,1.86400000,64388.00000000,62681.10000000,128825.29800000,8187395997.97999954,64307.71439855,0.00005304,2124959
2,ETHUSDT,ETH,USDT,1908.08000000,1.24800000,1914.85000000,1868.01000000,2686018.32900000,5094579888.97000027,1908.08000000,0.00007332,2685194
3,SNDKUSDT,SNDK,USDT,1792.06000000,7.67700000,1826.57000000,1653.68000000,2841484.06000000,4971781805.16269970,1792.24000000,-0.00043510,5684727
4,BTCUSDC,BTC,USDC,64265.30000000,1.90000000,64365.50000000,62626.00000000,36376.33700000,2310601464.40000010,64267.51640442,0.00010000,555791
5,SPCXUSDT,SPCX,USDT,147.87000000,5.70400000,149.72000000,139.02000000,9958747.82000000,1447773036.87430000,147.86000000,-0.00054265,1533175
6,ETHUSDC,ETH,USDC,1906.64000000,1.26200000,1913.49000000,1866.21000000,728826.07600000,1381269821.41000009,1906.68153375,0.00009421,682931
7,XAUUSDT,XAU,USDT,4418.85000000,0.69600000,4433.00000000,4372.20000000,305008.77700000,1343534366.94000006,4418.96282724,0.00000000,945598
8,SOLUSDT,SOL,USDT,75.88000000,0.83700000,76.20000000,74.00000000,14750700.07000000,1110557339.52130008,75.89000000,-0.00005901,913513
9,SNXXUSDT,SNXX,USDT,19.15000000,14.67100000,19.90000000,16.45000000,57538644.13000000,1049158755.41480005,19.15000000,-0.00021554,1222799
10,MUUSDT,MU,USDT,1020.79000000,4.10200000,1036.00000000,973.75000000,829190.81000000,837502099.24049997,1020.81000000,-0.00007423,1844376
11,SOXLUSDT,SOXL,USDT,154.40000000,6.38700000,156.83000000,144.22000000,5200066.05000000,788774596.37890005,154.45000000,-0.00024834,1332485
12,SKHYNIXUSDT,SKHYNIX,USDT,1238.28000000,4.55000000,1253.72000000,1170.73000000,617501.96000000,752709055.42130005,1238.28000000,0.00000000,1676822
13,XAGUSDT,XAG,USDT,66.05000000,1.50600000,66.66000000,64.67000000,10515037.37000000,691168308.54349995,66.03000000,0.00000000,488005
14,KORUUSDT,KORU,USDT,24.03000000,8.88100000,25.35000000,21.72000000,26640601.74000000,631097654.34979999,24.02671678,-0.00010814,652161
15,SKHYUSDT,SKHY,USDT,175.48000000,4.40900000,178.33000000,166.67000000,3249609.08000000,562987052.93219995,175.50000000,-0.00050802,892466
16,CLUSDT,CL,USDT,83.93000000,3.13300000,84.08000000,80.86000000,6822130.24000000,558587435.53729999,83.92811062,0.00000000,545731
17,GPSUSDT,GPS,USDT,0.01616100,60.29600000,0.01753000,0.00982700,35458016795.00000000,550460643.67332602,0.01616930,-0.00015945,8174058
18,ZECUSDT,ZEC,USDT,510.41000000,4.06500000,519.43000000,484.81000000,879373.08600000,444241561.54000002,510.41000000,0.00010000,1654919
19,XRPUSDT,XRP,USDT,1.00110000,0.06000000,1.00850000,0.98750000,427751186.50000000,427370381.61930001,1.00113383,0.00002715,743038
20,ACEUSDT,ACE,USDT,0.17490000,28.57500000,0.20421000,0.13102000,2319692427.80999994,398297351.47943699,0.17492815,-0.00300559,8159385
21,HYPEUSDT,HYPE,USDT,58.95900000,2.18900000,59.90900000,57.05200000,6105001.23000000,358721996.94019002,58.96000000,0.00003247,1072054
22,TUTUSDT,TUT,USDT,0.04581000,41.30200000,0.06060000,0.03185000,7352581758.00000000,323439474.86163998,0.04585987,0.00005000,4464423
23,PORTALUSDT,PORTAL,USDT,0.01546000,3.61900000,0.02024000,0.01460000,18195844084.20000076,313098802.15728199,0.01546660,0.00005000,3142265
24,BTWUSDT,BTW,USDT,0.35826000,4.37000000,0.44000000,0.31800000,757180130.00000000,282027713.98648000,0.35838000,0.00030762,6948453
25,BZUSDT,BZ,USDT,89.19000000,3.28900000,89.37000000,86.02000000,3083112.85000000,268269007.86829999,89.19000000,-0.00000623,267106
26,DRAMUSDT,DRAM,USDT,60.92000000,5.18000000,62.09000000,57.42000000,3888045.74000000,234012277.48670000,60.91383668,0.00000000,279947
27,CYSUSDT,CYS,USDT,0.45810000,-38.10300000,0.86860000,0.43320000,349630056.00000000,208843316.30070001,0.45790000,-0.00010437,3348290
28,BNBUSDT,BNB,USDT,606.60000000,-0.04100000,608.33000000,601.27000000,338278.27000000,204738500.88499999,606.60000000,0.00001074,574019
29,DOGEUSDT,DOGE,USDT,0.07036000,0.55700000,0.07057000,0.06890000,2483823742.00000000,173888990.50238001,0.07036000,0.00009674,456903
30,SOLUSDC,SOL,USDC,75.84000000,0.87800000,76.12000000,73.95000000,1994827.02000000,150084583.66130000,75.84239974,0.00002412,201092
31,PUMPUSDT,PUMP,USDT,0.00285000,4.09100000,0.00300000,0.00265100,47736242441.00000000,136550797.44493300,0.00285032,-0.00009042,586950
32,WLDUSDT,WLD,USDT,0.35470000,-2.09800000,0.37000000,0.35150000,359296312.00000000,129302537.30290000,0.35470000,-0.00006883,597709
33,APRUSDT,APR,USDT,0.18310000,-0.54300000,0.22720000,0.17720000,655535405.00000000,129283911.13886000,0.18300000,0.00004618,1767694
34,LINKUSDT,LINK,USDT,9.49600000,0.71100000,9.57000000,9.33400000,12736487.55000000,120602426.92500000,9.49530216,0.00002460,435089
35,SOXSUSDT,SOXS,USDT,37.64000000,-6.39100000,40.45000000,36.97000000,3133043.47000000,120535059.07990000,37.63377234,0.00001182,428276
36,SAMSUNGUSDT,SAMSUNG,USDT,201.59000000,4.85300000,206.00000000,190.36000000,564408.50000000,112123791.26380000,201.59000000,-0.00008986,315237
37,INTCUSDT,INTC,USDT,103.51000000,-0.91900000,106.09000000,101.92000000,1044424.26000000,108836566.72620000,103.51000000,0.00000000,326914
38,CRCLUSDT,CRCL,USDT,74.80000000,3.61500000,75.50000000,70.85000000,1478273.75000000,108757061.00870000,74.81000000,0.00000000,379603
39,ADAUSDT,ADA,USDT,0.17430000,-1.02200000,0.17910000,0.17200000,617517947.00000000,108306486.72660001,0.17434737,0.00001305,312408
40,AIOUSDT,AIO,USDT,0.05593000,-21.28100000,0.07880000,0.05525000,1562824315.00000000,107968105.19357000,0.05594162,0.00005000,2031766
41,1000PEPEUSDT,1000PEPE,USDT,0.00259370,-0.52500000,0.00262460,0.00252830,41675513227.00000000,107794205.94161220,0.00259262,-0.00016743,690216
42,NBISUSDT,NBIS,USDT,274.57000000,-0.88100000,285.24000000,263.73000000,380468.13000000,104791886.55480000,274.52435456,0.00000000,397587
