date,symbol,volume,rank
2013-01-01 00:00:00+00:00,BTC,28305.24000000,1
2013-01-02 00:00:00+00:00,BTC,17983.56000000,1
2013-01-03 00:00:00+00:00,BTC,18024.05000000,1
2013-01-04 00:00:00+00:00,BTC,29724.44000000,1
2013-01-05 00:00:00+00:00,BTC,21266.72000000,1
2013-01-06 00:00:00+00:00,BTC,12742.41000000,1
2013-01-07 00:00:00+00:00,BTC,25445.11000000,1
2013-01-08 00:00:00+00:00,BTC,42802.24000000,1
2013-01-09 00:00:00+00:00,BTC,28731.31000000,1
2013-01-10 00:00:00+00:00,BTC,51830.43000000,1
2013-01-11 00:00:00+00:00,BTC,40371.55000000,1
2013-01-12 00:00:00+00:00,BTC,26770.97000000,1
2013-01-13 00:00:00+00:00,BTC,38398.56000000,1
2013-01-14 00:00:00+00:00,BTC,21996.33000000,1
2013-01-15 00:00:00+00:00,BTC,51653.58000000,1
2013-01-16 00:00:00+00:00,BTC,45534.14000000,1
2013-01-17 00:00:00+00:00,BTC,65189.26000000,1
2013-01-18 00:00:00+00:00,BTC,55777.12000000,1
2013-01-19 00:00:00+00:00,BTC,34657.60000000,1
2013-01-20 00:00:00+00:00,BTC,25983.01000000,1
2013-01-21 00:00:00+00:00,BTC,61537.20000000,1
2013-01-22 00:00:00+00:00,BTC,60934.22000000,1
2013-01-23 00:00:00+00:00,BTC,49428.33000000,1
2013-01-24 00:00:00+00:00,BTC,171634.84000000,1
2013-01-25 00:00:00+00:00,BTC,80674.83000000,1
2013-01-26 00:00:00+00:00,BTC,34625.22000000,1
2013-01-27 00:00:00+00:00,BTC,23836.26000000,1
2013-01-28 00:00:00+00:00,BTC,57791.84000000,1
2013-01-29 00:00:00+00:00,BTC,86226.72000000,1
2013-01-30 00:00:00+00:00,BTC,44916.40000000,1
2013-01-31 00:00:00+00:00,BTC,99137.31000000,1
2013-02-01 00:00:00+00:00,BTC,49951.22000000,1
2013-02-02 00:00:00+00:00,BTC,80381.77000000,1
2013-02-03 00:00:00+00:00,BTC,34125.70000000,1
2013-02-04 00:00:00+00:00,BTC,52321.49000000,1
2013-02-05 00:00:00+00:00,BTC,29060.19000000,1
2013-02-06 00:00:00+00:00,BTC,52106.45000000,1
2013-02-07 00:00:00+00:00,BTC,64367.44000000,1
2013-02-08 00:00:00+00:00,BTC,48661.89000000,1
2013-02-09 00:00:00+00:00,BTC,38119.66000000,1
2013-02-10 00:00:00+00:00,BTC,56386.35000000,1
2013-02-11 00:00:00+00:00,BTC,29530.65000000,1
2013-02-12 00:00:00+00:00,BTC,74170.04000000,1
2013-02-13 00:00:00+00:00,BTC,90041.94000000,1
2013-02-14 00:00:00+00:00,BTC,145854.14000000,1
2013-02-15 00:00:00+00:00,BTC,51691.90000000,1
2013-02-16 00:00:00+00:00,BTC,18774.26000000,1
2013-02-17 00:00:00+00:00,BTC,77280.85000000,1
2013-02-18 00:00:00+00:00,BTC,29819.80000000,1
2013-02-19 00:00:00+00:00,BTC,99782.98000000,1
2013-02-20 00:00:00+00:00,BTC,37238.54000000,1
2013-02-21 00:00:00+00:00,BTC,34672.77000000,1
2013-02-22 00:00:00+00:00,BTC,66804.81000000,1
2013-02-23 00:00:00+00:00,BTC,71992.11000000,1
2013-02-24 00:00:00+00:00,BTC,24294.73000000,1
2013-02-25 00:00:00+00:00,BTC,26825.02000000,1
2013-02-26 00:00:00+00:00,BTC,42947.29000000,1
2013-02-27 00:00:00+00:00,BTC,30493.42000000,1
2013-02-28 00:00:00+00:00,BTC,126830.64000000,1
2013-03-01 00:00:00+00:00,BTC,39814.92000000,1
2013-03-02 00:00:00+00:00,BTC,36748.77000000,1
2013-03-03 00:00:00+00:00,BTC,12482.77000000,1
2013-03-04 00:00:00+00:00,BTC,46685.45000000,1
2013-03-05 00:00:00+00:00,BTC,85765.94000000,1
2013-03-06 00:00:00+00:00,BTC,126795.52000000,1
2013-03-07 00:00:00+00:00,BTC,157898.36000000,1
2013-03-08 00:00:00+00:00,BTC,47043.47000000,1
2013-03-09 00:00:00+00:00,BTC,44562.53000000,1
2013-03-10 00:00:00+00:00,BTC,36323.44000000,1
2013-03-11 00:00:00+00:00,BTC,41447.44000000,1
2013-03-12 00:00:00+00:00,BTC,183045.14000000,1
2013-03-13 00:00:00+00:00,BTC,49627.03000000,1
2013-03-14 00:00:00+00:00,BTC,37129.77000000,1
2013-03-15 00:00:00+00:00,BTC,20160.32000000,1
2013-03-16 00:00:00+00:00,BTC,16344.09000000,1
2013-03-17 00:00:00+00:00,BTC,13912.14000000,1
2013-03-18 00:00:00+00:00,BTC,65032.52000000,1
2013-03-19 00:00:00+00:00,BTC,112206.01000000,1
2013-03-20 00:00:00+00:00,BTC,93178.76000000,1
2013-03-21 00:00:00+00:00,BTC,94152.86000000,1
2013-03-22 00:00:00+00:00,BTC,73103.28000000,1
2013-03-23 00:00:00+00:00,BTC,150321.04000000,1
2013-03-24 00:00:00+00:00,BTC,41913.59000000,1
2013-03-25 00:00:00+00:00,BTC,79467.48000000,1
2013-03-26 00:00:00+00:00,BTC,56618.31000000,1
2013-03-27 00:00:00+00:00,BTC,71795.34000000,1
2013-03-28 00:00:00+00:00,BTC,140006.00000000,1
2013-03-29 00:00:00+00:00,BTC,83237.59000000,1
2013-03-30 00:00:00+00:00,BTC,37290.15000000,1
2013-03-31 00:00:00+00:00,BTC,21117.06000000,1
2013-04-01 00:00:00+00:00,BTC,90446.98000000,1
2013-04-02 00:00:00+00:00,BTC,81672.99000000,1
2013-04-03 00:00:00+00:00,BTC,153128.17000000,1
2013-04-04 00:00:00+00:00,BTC,88736.02000000,1
2013-04-05 00:00:00+00:00,BTC,68281.60000000,1
2013-04-06 00:00:00+00:00,BTC,18370.26000000,1
2013-04-07 00:00:00+00:00,BTC,60994.86000000,1
2013-04-08 00:00:00+00:00,BTC,114414.96000000,1
2013-04-09 00:00:00+00:00,BTC,105926.64000000,1
2013-04-10 00:00:00+00:00,BTC,190313.55000000,1
2013-04-11 00:00:00+00:00,BTC,118714.77000000,1
2013-04-12 00:00:00+00:00,BTC,554438.61000000,1
2013-04-13 00:00:00+00:00,BTC,238181.43000000,1
2013-04-14 00:00:00+00:00,BTC,166700.04000000,1
2013-04-15 00:00:00+00:00,BTC,236685.99000000,1
2013-04-16 00:00:00+00:00,BTC,574486.28000000,1
2013-04-17 00:00:00+00:00,BTC,327111.11000000,1
2013-04-18 00:00:00+00:00,BTC,173409.53000000,1
2013-04-19 00:00:00+00:00,BTC,256425.78000000,1
2013-04-20 00:00:00+00:00,BTC,74361.74000000,1
2013-04-21 00:00:00+00:00,BTC,99319.45000000,1
2013-04-22 00:00:00+00:00,BTC,59333.59000000,1
2013-04-23 00:00:00+00:00,BTC,116193.72000000,1
2013-04-24 00:00:00+00:00,BTC,224877.43000000,1
2013-04-25 00:00:00+00:00,BTC,187098.18000000,1
2013-04-26 00:00:00+00:00,BTC,128520.58000000,1
2013-04-27 00:00:00+00:00,BTC,59902.29000000,1
2013-04-28 00:00:00+00:00,BTC,25956.84000000,1
2013-04-28 00:00:00+00:00,LTC,0.00000000,2
2013-04-29 00:00:00+00:00,BTC,0.00000000,1
2013-04-29 00:00:00+00:00,LTC,0.00000000,2
2013-04-30 00:00:00+00:00,BTC,0.00000000,1
2013-04-30 00:00:00+00:00,LTC,0.00000000,2
2013-05-01 00:00:00+00:00,BTC,0.00000000,1
2013-05-01 00:00:00+00:00,LTC,0.00000000,2
2013-05-02 00:00:00+00:00,BTC,0.00000000,1
2013-05-02 00:00:00+00:00,LTC,0.00000000,2
2013-05-03 00:00:00+00:00,BTC,0.00000000,1
2013-05-03 00:00:00+00:00,LTC,0.00000000,2
2013-05-04 00:00:00+00:00,BTC,0.00000000,1
2013-05-04 00:00:00+00:00,LTC,0.00000000,2
2013-05-05 00:00:00+00:00,BTC,0.00000000,1
2013-05-05 00:00:00+00:00,LTC,0.00000000,2
2013-05-06 00:00:00+00:00,BTC,0.00000000,1
2013-05-06 00:00:00+00:00,LTC,0.00000000,2
2013-05-07 00:00:00+00:00,BTC,0.00000000,1
2013-05-07 00:00:00+00:00,LTC,0.00000000,2
2013-05-08 00:00:00+00:00,BTC,0.00000000,1
2013-05-08 00:00:00+00:00,LTC,0.00000000,2
2013-05-09 00:00:00+00:00,BTC,0.00000000,1
2013-05-09 00:00:00+00:00,LTC,0.00000000,2
2013-05-10 00:00:00+00:00,BTC,0.00000000,1
2013-05-10 00:00:00+00:00,LTC,0.00000000,2
2013-05-11 00:00:00+00:00,BTC,0.00000000,1
2013-05-11 00:00:00+00:00,LTC,0.00000000,2
2013-05-12 00:00:00+00:00,BTC,0.00000000,1
2013-05-12 00:00:00+00:00,LTC,0.00000000,2
2013-05-13 00:00:00+00:00,BTC,0.00000000,1
2013-05-13 00:00:00+00:00,LTC,0.00000000,2
2013-05-14 00:00:00+00:00,BTC,0.00000000,1
2013-05-14 00:00:00+00:00,LTC,0.00000000,2
2013-05-15 00:00:00+00:00,BTC,0.00000000,1
2013-05-15 00:00:00+00:00,LTC,0.00000000,2
2013-05-16 00:00:00+00:00,BTC,0.00000000,1
2013-05-16 00:00:00+00:00,LTC,0.00000000,2
2013-05-17 00:00:00+00:00,BTC,0.00000000,1
2013-05-17 00:00:00+00:00,LTC,0.00000000,2
2013-05-18 00:00:00+00:00,BTC,0.00000000,1
2013-05-18 00:00:00+00:00,LTC,0.00000000,2
2013-05-19 00:00:00+00:00,BTC,0.00000000,1
2013-05-19 00:00:00+00:00,LTC,0.00000000,2
2013-05-20 00:00:00+00:00,BTC,0.00000000,1
2013-05-20 00:00:00+00:00,LTC,0.00000000,2
2013-05-21 00:00:00+00:00,BTC,0.00000000,1
2013-05-21 00:00:00+00:00,LTC,0.00000000,2
2013-05-22 00:00:00+00:00,BTC,0.00000000,1
2013-05-22 00:00:00+00:00,LTC,0.00000000,2
2013-05-23 00:00:00+00:00,BTC,0.00000000,1
2013-05-23 00:00:00+00:00,LTC,0.00000000,2
2013-05-24 00:00:00+00:00,BTC,0.00000000,1
2013-05-24 00:00:00+00:00,LTC,0.00000000,2
2013-05-25 00:00:00+00:00,BTC,0.00000000,1
2013-05-25 00:00:00+00:00,LTC,0.00000000,2
2013-05-26 00:00:00+00:00,BTC,0.00000000,1
2013-05-26 00:00:00+00:00,LTC,0.00000000,2
2013-05-27 00:00:00+00:00,BTC,0.00000000,1
2013-05-27 00:00:00+00:00,LTC,0.00000000,2
2013-05-28 00:00:00+00:00,BTC,0.00000000,1
2013-05-28 00:00:00+00:00,LTC,0.00000000,2
2013-05-29 00:00:00+00:00,BTC,0.00000000,1
2013-05-29 00:00:00+00:00,LTC,0.00000000,2
2013-05-30 00:00:00+00:00,BTC,0.00000000,1
2013-05-30 00:00:00+00:00,LTC,0.00000000,2
2013-05-31 00:00:00+00:00,BTC,0.00000000,1
2013-05-31 00:00:00+00:00,LTC,0.00000000,2
2013-06-01 00:00:00+00:00,BTC,0.00000000,1
2013-06-01 00:00:00+00:00,LTC,0.00000000,2
2013-06-02 00:00:00+00:00,BTC,0.00000000,1
2013-06-02 00:00:00+00:00,LTC,0.00000000,2
2013-06-03 00:00:00+00:00,BTC,0.00000000,1
2013-06-03 00:00:00+00:00,LTC,0.00000000,2
2013-06-04 00:00:00+00:00,BTC,0.00000000,1
2013-06-04 00:00:00+00:00,LTC,0.00000000,2
2013-06-05 00:00:00+00:00,BTC,0.00000000,1
2013-06-05 00:00:00+00:00,LTC,0.00000000,2
2013-06-06 00:00:00+00:00,BTC,0.00000000,1
2013-06-06 00:00:00+00:00,LTC,0.00000000,2
2013-06-07 00:00:00+00:00,BTC,0.00000000,1
2013-06-07 00:00:00+00:00,LTC,0.00000000,2
2013-06-08 00:00:00+00:00,BTC,0.00000000,1
2013-06-08 00:00:00+00:00,LTC,0.00000000,2
2013-06-09 00:00:00+00:00,BTC,0.00000000,1
2013-06-09 00:00:00+00:00,LTC,0.00000000,2
2013-06-10 00:00:00+00:00,BTC,0.00000000,1
2013-06-10 00:00:00+00:00,LTC,0.00000000,2
2013-06-11 00:00:00+00:00,BTC,0.00000000,1
2013-06-11 00:00:00+00:00,LTC,0.00000000,2
2013-06-12 00:00:00+00:00,BTC,0.00000000,1
2013-06-12 00:00:00+00:00,LTC,0.00000000,2
