rank,id,symbol,name,price_usd,market_cap,volume_24h_usd,change_24h_pct,high_24h,low_24h,ath,ath_change_percentage,circ_supply,total_supply,max_supply
80,algorand,algo,Algorand,0.07863100,709601391,17026803.00000000,-0.40000000,0.07999700,0.07779500,3.56000000,-97.79198000,9026114907.87260818,9026116330.76923561,10000000000.00000000
81,nexo,nexo,NEXO,0.70551500,705870201,4184158.00000000,-0.30000000,0.71410200,0.69305700,4.07000000,-82.65682000,1000000000.00000000,1000000000.00000000,1000000000.00000000
82,kaspa,kas,Kaspa,0.02548768,704492459,6089943.00000000,-3.00000000,0.02651074,0.02548512,0.20741100,-87.71151000,27642086769.22501755,27645435602.63142014,28704026601.00000000
83,janus-henderson-anemoy-aaa-clo-fund,jaaa,Janus Henderson Anemoy AAA CLO Fund,1.04600000,700863710,0.00000000,0.00000000,1.04600000,1.04500000,1.04600000,0.00000000,670349405.23575103,670349405.23575103,
84,gho,gho,GHO,0.99887700,698209889,1804891.00000000,0.00000000,0.99953900,0.99835600,1.03000000,-3.00682000,699000000.00000000,699000000.00000000,
85,ylds,ylds,YLDS,0.99926700,679420281,14524414.00000000,0.00000000,1.00000000,0.99892800,1.00100000,-0.20844000,679923078.50000000,679923078.50000000,
86,render-token,render,Render,1.27000000,657410021,18626451.00000000,0.20000000,1.28000000,1.24000000,13.53000000,-90.63742000,518772101.28269154,533532274.56269151,644245094.00000000
87,beldex,bdx,Beldex,0.08286800,654757031,9540513.00000000,5.50000000,0.08363800,0.07870000,0.45078500,-81.61689000,7870135425.86915398,9939075631.90726471,
88,venice-token,vvv,Venice Token,12.65000000,598935622,10999641.00000000,5.90000000,12.70000000,11.68000000,22.58000000,-43.98292000,47333971.27443219,80804182.01871382,
89,lighter,lit,Lighter,2.33000000,581154778,23337765.00000000,0.00000000,2.39000000,2.27000000,7.86000000,-70.41623000,250000000.00000000,1000000000.00000000,1000000000.00000000
90,jupiter-exchange-solana,jup,Jupiter,0.16814000,558308684,14056002.00000000,-0.30000000,0.17022300,0.16544600,2.00000000,-91.59306000,3320312968.07999992,6862431280.87697124,10000000000.00000000
91,usual-usd,usd0,Usual USD,0.99851200,550636973,24642.00000000,0.00000000,0.99937300,0.99809300,1.33000000,-24.68039000,551460951.97710454,551460951.97710454,
92,filecoin,fil,Filecoin,0.66951400,548648192,43510854.00000000,-2.30000000,0.68155500,0.66153000,236.84000000,-99.71731000,819501756.00000000,1957140114.00000000,
93,xdce-crowd-sale,xdc,XDC Network,0.02697092,537921342,7345047.00000000,0.00000000,0.02703432,0.02680658,0.19275400,-86.00761000,19946688440.00000000,38065686425.09999847,
94,flare-networks,flr,Flare,0.00591369,514055126,1411070.00000000,-0.30000000,0.00594270,0.00588784,0.15007300,-96.05946000,86926741506.58654785,106365238675.12530518,
95,ether-fi,ethfi,Ether.fi,0.49148900,500394369,37002474.00000000,-3.00000000,0.51442900,0.49351600,8.53000000,-94.23738000,1018168558.00000000,998535999.00000000,1000000000.00000000
96,arbitrum,arb,Arbitrum,0.07561300,500291854,28245426.00000000,-0.30000000,0.07555800,0.07284100,2.39000000,-96.83665000,6614056381.00000000,10000000000.00000000,10000000000.00000000
97,true-usd,tusd,TrueUSD,0.99823600,493636273,5226631.00000000,0.00000000,0.99904600,0.99735500,1.62000000,-38.32384000,494515083.00000000,494515083.00000000,
98,pancakeswap-token,cake,PancakeSwap,1.47000000,473411355,17576000.00000000,0.80000000,1.47000000,1.44000000,43.96000000,-96.64757000,321196772.06781006,333490138.47323358,400000000.00000000
99,euro-coin,eurc,EURC,1.16000000,472959610,28171163.00000000,0.30000000,1.16000000,1.16000000,1.35000000,-14.39284000,408645738.94987309,408645738.94987309,
