rank,id,symbol,name,price_usd,market_cap,volume_24h_usd,change_24h_pct,high_24h,low_24h,ath,ath_change_percentage,circ_supply,total_supply,max_supply
1,bitcoin,btc,Bitcoin,64275.00000000,1290030143282,19903456818.00000000,1.50000000,64162.00000000,62667.00000000,126080.00000000,-49.02075000,20071518.00000000,20071518.00000000,21000000.00000000
2,ethereum,eth,Ethereum,1907.56000000,230215607465,6696735330.00000000,1.20000000,1912.95000000,1867.90000000,4946.05000000,-61.43272000,120681932.36478634,120681932.36478630,
3,tether,usdt,Tether,0.99924900,183015966114,32003250958.00000000,0.00000000,0.99999200,0.99890500,1.32000000,-24.47643000,183154731790.59143066,188621677315.54620361,
4,binancecoin,bnb,BNB,605.68000000,80652991336,566755750.00000000,0.10000000,607.32000000,600.89000000,1369.99000000,-55.78977000,133163675.36000000,133163669.78000000,200000000.00000000
5,usd-coin,usdc,USDC,0.99966100,71792971200,8537945953.00000000,0.00000000,1.00000000,0.99928900,1.04300000,-4.19794000,71817949421.63229370,71934002182.57722473,
6,ripple,xrp,XRP,1.00100000,62714063581,857662542.00000000,0.10000000,1.00700000,0.98868300,3.65000000,-72.55643000,62676938832.00000000,99985629672.00000000,100000000000.00000000
7,solana,sol,Solana,75.90000000,44234964854,1328406131.00000000,0.60000000,76.13000000,74.20000000,293.31000000,-74.12382000,582896069.29545283,632388314.68683064,
8,tron,trx,TRON,0.33065600,31378522867,353690042.00000000,-0.20000000,0.33335800,0.32833400,0.43128800,-23.33294000,94907601778.97018433,94907629979.46678162,
9,figure-heloc,figr_heloc,Figure Heloc,1.00600000,21536337988,134256398.00000000,0.50000000,1.03800000,1.00100000,1.06100000,-5.15438000,21410454034.16600037,21410454034.16600037,
10,hyperliquid,hype,Hyperliquid,58.98000000,13116590273,272311438.00000000,2.80000000,59.84000000,57.07000000,76.87000000,-23.27545000,222445714.07414138,955307079.43414140,1000000000.00000000
11,dogecoin,doge,Dogecoin,0.07031100,10935520099,287088518.00000000,0.40000000,0.07051800,0.06920900,0.73157800,-90.38913000,155533186383.70520020,155533306383.70520020,
12,usds,usds,USDS,1.00000000,9796036685,107897665.00000000,0.00000000,1.00100000,0.99967100,1.05700000,-5.41838000,9794835040.47604370,9793502456.61153603,
13,rain,rain,Rain,0.01313286,9407335106,30570659.00000000,3.90000000,0.01341814,0.01263879,0.01655801,-20.68579000,716584162552.87817383,1149834394826.38598633,1150000000000.00000000
14,leo-token,leo,LEO Token,9.41000000,8659219813,314015.00000000,0.90000000,9.49000000,9.29000000,10.61000000,-11.31238000,919958358.89999998,985239504.00000000,
15,zcash,zec,Zcash,510.61000000,8622722948,235358526.00000000,3.40000000,518.78000000,484.88000000,3191.93000000,-84.00321000,16879123.60304480,16882207.97804480,21000000.00000000
16,monero,xmr,Monero,413.46000000,7776525782,85339556.00000000,0.20000000,420.10000000,407.23000000,797.73000000,-48.17046000,18792540.14685407,18792560.54658598,
17,chainlink,link,Chainlink,9.50000000,7115291936,249564867.00000000,1.90000000,9.56000000,9.35000000,52.70000000,-81.96324000,748099970.42488396,1000000000.00000000,1000000000.00000000
18,whitebit,wbt,WhiteBIT Coin,55.49000000,6546784977,45234942.00000000,1.30000000,55.43000000,54.34000000,64.11000000,-13.44685000,118000829.00000000,293650828.00000000,400000000.00000000
19,cardano,ada,Cardano,0.17419100,6506580296,231993651.00000000,-1.50000000,0.17901400,0.17261600,3.09000000,-94.35712000,37359859977.77314758,45000000000.00000000,45000000000.00000000
20,stellar,xlm,Stellar,0.15789500,5452114888,73026083.00000000,0.10000000,0.15913100,0.15590600,0.87556300,-81.96648000,34530897781.98480225,50001786839.91246796,
21,dai,dai,Dai,1.00000000,4570608172,147438066.00000000,0.00000000,1.00100000,0.99967600,1.22000000,-17.95933000,4570996254.10372925,4567669264.54182625,
22,bitcoin-cash,bch,Bitcoin Cash,204.81000000,4112172173,143736310.00000000,0.40000000,205.61000000,202.54000000,3785.82000000,-94.58995000,20076537.39665078,20076821.77165078,21000000.00000000
23,usd1-wlfi,usd1,USD1,0.99901700,4000449866,665194017.00000000,0.00000000,1.00000000,0.99884400,1.04800000,-4.66778000,4004421485.12095118,4004421485.12095118,
24,ethena-usde,usde,Ethena USDe,0.99967700,3958439936,39263637.00000000,0.00000000,1.00000000,0.99920700,1.03400000,-3.32169000,3959754972.87758303,3962065036.92418289,
25,the-open-network,gram,Gram (prev. Toncoin),1.33000000,3662004530,14440158.00000000,-1.70000000,1.35000000,1.33000000,8.25000000,-83.92260000,2759800497.87210608,5232985916.15894794,
26,canton-network,cc,Canton,0.09151000,3603252404,6794039.00000000,-4.50000000,0.09649800,0.09138800,0.19415200,-52.86699000,39367927003.00856781,39367927003.00856781,
27,global-dollar,usdg,Global Dollar,1.00000000,3455766264,296212934.00000000,0.00000000,1.00100000,0.99973300,1.65000000,-39.55935000,3455853602.73427105,3458853602.73427105,
28,litecoin,ltc,Litecoin,44.52000000,3450705982,148941450.00000000,-0.40000000,44.54000000,43.80000000,410.26000000,-89.14837000,77504354.14144109,77508085.40094487,84000000.00000000
29,hashnote-usyc,usyc,Circle USYC,1.13000000,3005759470,5666.64000000,0.00000000,0.00000000,0.00000000,1.13000000,-0.01898000,2652151327.79883718,2642453326.93716717,
29,hedera-hashgraph,hbar,Hedera,0.06599800,2891990173,44334948.00000000,0.80000000,0.06632000,0.06431100,0.56922900,-88.40569000,43831545027.47260284,50000000000.00000000,50000000000.00000000
30,paypal-usd,pyusd,PayPal USD,0.99978100,2763752824,57222655.00000000,0.00000000,1.00100000,0.99937900,1.02100000,-2.05304000,2764262456.09898138,2764262456.09898090,
31,sui,sui,Sui,0.67714100,2759220412,104011131.00000000,-0.30000000,0.67975400,0.66726000,5.35000000,-87.33503000,4074529886.44152927,10000000000.00000000,10000000000.00000000
32,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.00000000,2758472400,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,2758472400.45044899,2758472400.45044899,
33,avalanche-2,avax,Avalanche,6.32000000,2730023390,129238630.00000000,-1.90000000,6.39000000,6.29000000,144.96000000,-95.63960000,431771961.17721188,463441061.17721188,720000000.00000000
34,tether-gold,xaut,Tether Gold,4393.97000000,2693509746,200995477.00000000,1.00000000,4403.03000000,4348.05000000,5504.62000000,-20.17662000,612823.65953200,707747.08900000,
35,shiba-inu,shib,Shiba Inu,0.00000446,2629679158,56676785.00000000,-1.10000000,0.00000450,0.00000439,0.00008616,-94.81953000,589239468746989.50000000,589496294189165.12500000,
36,crypto-com-chain,cro,Cronos,0.04714778,2286392909,3057904.00000000,-1.00000000,0.04771870,0.04707942,0.89154400,-94.71167000,48495567903.58936310,98862266900.37675476,100000000000.00000000
37,ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,1.14000000,2143818578,2151015.00000000,-0.10000000,1.14000000,1.14000000,1.26000000,-9.66121000,1878873581.54466128,1879092460.24136209,
38,okb,okb,OKB,100.55000000,2113264588,30453173.00000000,-3.50000000,104.90000000,100.62000000,228.74000000,-56.04110000,21000000.00000000,21000000.00000000,21000000.00000000
39,near,near,NEAR Protocol,1.61000000,2099775448,100959566.00000000,0.40000000,1.65000000,1.59000000,20.44000000,-92.11872000,1303845622.00000000,1303845616.00000000,
40,uniswap,uni,Uniswap,3.30000000,2056768556,135756942.00000000,-1.10000000,3.32000000,3.23000000,44.92000000,-92.65841000,623926423.72711289,891174420.03294790,1000000000.00000000
41,pax-gold,paxg,PAX Gold,4408.21000000,1926635603,120832189.00000000,1.00000000,4418.24000000,4363.54000000,5619.09000000,-21.54946000,436947.24806900,436947.24806900,
42,world-liberty-financial,wlfi,World Liberty Financial,0.06017300,1912557953,39203882.00000000,0.40000000,0.06096500,0.05910900,0.33133600,-81.83928000,31776228268.00000000,100000000000.00000000,100000000000.00000000
43,bittensor,tao,Bittensor,195.41000000,1875611503,65496412.00000000,-0.40000000,198.24000000,194.43000000,757.60000000,-74.20621000,9597491.00000000,21000000.00000000,21000000.00000000
44,ripple-usd,rlusd,Ripple USD,1.00000000,1746945202,119709025.00000000,0.00000000,1.00100000,0.99978500,1.07300000,-6.77175000,1746569690.46478295,1746569190.46478295,
45,ondo-finance,ondo,Ondo,0.33601900,1636511994,64219721.00000000,0.90000000,0.34183700,0.32665900,2.14000000,-84.29935000,4869330647.00000000,10000000000.00000000,10000000000.00000000
46,aster-2,aster,Aster,0.60108400,1618913740,66524646.00000000,0.10000000,0.60235800,0.59644900,2.41000000,-75.04567000,2692846387.65973091,7811132707.27937031,8000000000.00000000
47,htx-dao,htx,HTX DAO,0.00000178,1602757098,82827297.00000000,-0.30000000,0.00000180,0.00000178,0.00000375,-52.46097000,898232728634017.25000000,898232728634017.25000000,999990000000000.00000000
48,memecore,m,MemeCore,1.16000000,1556472241,4674814.00000000,1.00000000,1.15000000,1.12000000,5.64000000,-79.36522000,1336458472.06868291,5403790664.31390572,10000000000.00000000
49,usdd,usdd,USDD,0.99922600,1541092236,44392394.00000000,0.00000000,1.00000000,0.99887500,1.24000000,-19.56048000,1542296654.00000000,1549059250.00000000,
50,mantle,mnt,Mantle,0.44299400,1462671280,20062955.00000000,1.20000000,0.45508800,0.43927900,2.86000000,-84.48387000,3302294382.53683996,6219316794.88999939,6219316794.89000034
51,morpho,morpho,Morpho,2.12000000,1390493537,23094261.00000000,5.90000000,2.16000000,1.99000000,4.17000000,-49.23814000,656585001.97887969,1000000000.00000000,1000000000.00000000
52,aave,aave,Aave,87.89000000,1355462517,131454932.00000000,0.90000000,88.40000000,85.38000000,661.69000000,-86.71758000,15422843.66187956,16000000.00000000,16000000.00000000
53,falcon-finance,usdf,Falcon USD,0.99525000,1336399806,430263.00000000,-0.10000000,0.99655000,0.99499300,1.07500000,-7.38264000,1342787589.83489704,1342787589.83489704,
54,bfusd,bfusd,BFUSD,0.99844000,1317931438,26222027.00000000,0.00000000,0.99976900,0.99754900,1.00700000,-0.84264000,1320000000.00000000,1320000000.00000000,
55,polkadot,dot,Polkadot,0.75599500,1283989409,44506630.00000000,-1.20000000,0.76881400,0.75364200,54.98000000,-98.62494000,1698466042.30017495,1698471997.42753911,2100000000.00000000
56,worldcoin-wld,wld,Worldcoin,0.35456000,1276800104,159564948.00000000,-1.10000000,0.36920000,0.35194800,11.74000000,-96.98005000,3600849093.63954735,10000000000.00000000,10000000000.00000000
57,internet-computer,icp,Internet Computer,2.26000000,1257552054,27562160.00000000,-0.20000000,2.32000000,2.23000000,700.65000000,-99.67711000,555966678.79156113,555966678.79156113,
58,sky,sky,Sky,0.05334400,1249632624,6806524.00000000,2.50000000,0.05359000,0.05203400,0.10053500,-46.93952000,23429581230.20139313,23462665147.36595917,23462665147.29999924
59,united-stables,u,United Stables,0.99947200,1249225003,95306608.00000000,0.00000000,1.00000000,0.99913500,1.00800000,-0.82425000,1249899207.79999995,1249899207.79999995,
60,usdgo,usdgo,USDGO,1.00000000,1188439514,19596195.00000000,0.00000000,1.00100000,1.00000000,1.00200000,-0.19683000,1188001875.53999996,1188001875.53999996,
61,bitget-token,bgb,Bitget Token,1.67000000,1170959122,6513388.00000000,0.80000000,1.67000000,1.65000000,8.45000000,-80.20384000,699992029.64810383,910920874.64810383,2000000000.00000000
62,spiko-amundi-overnight-swap-fund-eur,eursafo,Spiko Amundi Overnight Swap Fund (EUR),1.17000000,1141739091,0.00000000,1.00000000,1.17000000,1.16000000,1.17000000,-0.28837000,975691799.71564996,975691799.71564996,
63,pump-fun,pump,Pump.fun,0.00285324,1117796773,104658768.00000000,6.60000000,0.00299548,0.00265931,0.00881908,-67.64696000,391557582185.92706299,839804974607.17407227,1000000000000.00000000
64,pepe,pepe,Pepe,0.00000259,1091292363,81113313.00000000,-1.60000000,0.00000262,0.00000254,0.00002803,-90.75386000,420690000000000.00000000,420690000000000.00000000,420690000000000.00000000
65,ethereum-classic,etc,Ethereum Classic,6.18000000,975423293,27909690.00000000,-0.50000000,6.23000000,6.04000000,167.09000000,-96.30239000,157873294.06046551,157873755.32126549,210700000.00000000
66,blockchain-capital,bcap,Blockchain Capital,106.16000000,967341704,0.00000000,0.00000000,106.16000000,106.16000000,106.22000000,-0.05649000,9112111.00000000,9112111.00000000,
67,bitway,btw,Bitway,0.35637600,963645028,58504180.00000000,2.80000000,0.41524100,0.31860900,0.41524100,-14.17625000,2708142280.00000095,10000000000.00000000,10000000000.00000000
68,pi-network,pi,Pi Network,0.08725700,963396932,4391168.00000000,0.90000000,0.08719400,0.08480600,2.99000000,-97.07938000,11042209140.66622734,16988014062.56341934,100000000000.00000000
69,superstate-short-duration-us-government-securities-fund-ustb,ustb,Invesco Short Duration US Government Securities Fund,11.18000000,957450391,0.00000000,0.00000000,11.18000000,11.18000000,11.18000000,0.00000000,85648502.41019399,85648502.41019399,
70,eutbl,eutbl,Spiko EU T-Bills Money Market Fund,1.22000000,928711749,0.00000000,1.00000000,1.23000000,1.21000000,1.26000000,-2.92722000,758686624.42885995,758686624.42885995,
71,kucoin-shares,kcs,KuCoin,6.54000000,896438344,2649870.00000000,-0.70000000,6.61000000,6.49000000,28.83000000,-77.32476000,137155021.29577178,142155021.29577169,
72,just,jst,JUST,0.10859700,889490216,25841027.00000000,0.30000000,0.10979500,0.10728700,0.19325400,-43.80627000,8188743036.34173679,8188743036.34173679,9900000000.00000000
73,janus-henderson-anemoy-treasury-fund,jtrsy,Janus Henderson Anemoy Treasury Fund,1.11000000,872493618,0.00000000,0.00000000,1.11000000,1.11000000,1.11000000,0.00000000,783770063.23811603,783770063.23811603,
74,polygon-ecosystem-token,pol,POL (ex-MATIC),0.07897600,845003422,35572501.00000000,3.20000000,0.07847200,0.07460400,1.29000000,-93.86620000,10697840554.17551994,10697840554.17551994,
75,quant-network,qnt,Quant,57.14000000,831223090,22131162.00000000,-0.20000000,57.66000000,55.52000000,427.42000000,-86.63081000,14544176.16408117,14612493.00000000,14612493.00000000
76,ethena,ena,Ethena,0.08348100,819790022,62730034.00000000,-1.30000000,0.08430100,0.08168200,1.52000000,-94.49949000,9828125000.00000000,15000000000.00000000,15000000000.00000000
77,stable-2,stable,​​Stable,0.03064417,780757583,10735838.00000000,0.30000000,0.03141378,0.02904768,0.04323745,-29.12586000,25488618998.00000000,100000000000.00000000,100000000000.00000000
78,cosmos,atom,Cosmos Hub,1.41000000,741127525,23994483.00000000,-4.60000000,1.47000000,1.41000000,43.84000000,-96.78250000,525560594.56335598,525566923.02571398,
79,gatechain-token,gt,Gate,6.68000000,712170892,1566164.00000000,0.00000000,6.76000000,6.64000000,25.38000000,-73.67722000,106595939.74173811,118847221.03192782,142622844.00000000
