fundingTime,fundingRate,realizedRate,instId,method
1785398400000,0.0000962099627254,0.0000962099627254,BTC-USDT-SWAP,current_period
1785369600000,0.0000404338305763,0.0000404338305763,BTC-USDT-SWAP,current_period
1785340800000,0.0000832522231396,0.0000832522231396,BTC-USDT-SWAP,current_period
1785312000000,0.0000296713694924,0.0000296713694924,BTC-USDT-SWAP,current_period
1785283200000,0.0000630482846255,0.0000630482846255,BTC-USDT-SWAP,current_period
1785254400000,0.0000217766318961,0.0000217766318961,BTC-USDT-SWAP,current_period
1785225600000,-0.0000191622586045,-0.0000191622586045,BTC-USDT-SWAP,current_period
1785196800000,0.0000242408062139,0.0000242408062139,BTC-USDT-SWAP,current_period
1785168000000,0.0000228280571175,0.0000228280571175,BTC-USDT-SWAP,current_period
1785139200000,0.0000525092874623,0.0000525092874623,BTC-USDT-SWAP,current_period
1785110400000,0.0000756427045204,0.0000756427045204,BTC-USDT-SWAP,current_period
1785081600000,0.0000107069213573,0.0000107069213573,BTC-USDT-SWAP,current_period
1785052800000,0.0000291130085216,0.0000291130085216,BTC-USDT-SWAP,current_period
1785024000000,0.0000404469961172,0.0000404469961172,BTC-USDT-SWAP,current_period
1784995200000,-0.0000019531187263,-0.0000019531187263,BTC-USDT-SWAP,current_period
1784966400000,0.0000285540115723,0.0000285540115723,BTC-USDT-SWAP,current_period
1784937600000,0.0000297244816893,0.0000297244816893,BTC-USDT-SWAP,current_period
1784908800000,0.0000463556429945,0.0000463556429945,BTC-USDT-SWAP,current_period
1784880000000,-0.0000083475733975,-0.0000083475733975,BTC-USDT-SWAP,current_period
1784851200000,0.000000146168809,0.000000146168809,BTC-USDT-SWAP,current_period
1784822400000,0.0000309437083436,0.0000309437083436,BTC-USDT-SWAP,current_period
1784793600000,-0.0000333148169405,-0.0000333148169405,BTC-USDT-SWAP,current_period
1784764800000,0.0000345300865541,0.0000345300865541,BTC-USDT-SWAP,current_period
1784736000000,0.0000072341658587,0.0000072341658587,BTC-USDT-SWAP,current_period
1784707200000,-0.0000046095462073,-0.0000046095462073,BTC-USDT-SWAP,current_period
1784678400000,0.0000645951712624,0.0000645951712624,BTC-USDT-SWAP,current_period
1784649600000,-0.0000386532726688,-0.0000386532726688,BTC-USDT-SWAP,current_period
1784620800000,0.0000170667772237,0.0000170667772237,BTC-USDT-SWAP,current_period
1784592000000,0.0000078604607579,0.0000078604607579,BTC-USDT-SWAP,current_period
1784563200000,0.0000151065561787,0.0000151065561787,BTC-USDT-SWAP,current_period
1784534400000,-0.0000010642569389,-0.0000010642569389,BTC-USDT-SWAP,current_period
1784505600000,0.0000149115311815,0.0000149115311815,BTC-USDT-SWAP,current_period
1784476800000,0.0000422130855567,0.0000422130855567,BTC-USDT-SWAP,current_period
1784448000000,0.0000594778872743,0.0000594778872743,BTC-USDT-SWAP,current_period
1784419200000,0.0000166804274372,0.0000166804274372,BTC-USDT-SWAP,current_period
1784390400000,0.0000863693379528,0.0000863693379528,BTC-USDT-SWAP,current_period
1784361600000,0.0000507952841494,0.0000507952841494,BTC-USDT-SWAP,current_period
1784332800000,0.0000380167412203,0.0000380167412203,BTC-USDT-SWAP,current_period
1784304000000,0.0000546348466336,0.0000546348466336,BTC-USDT-SWAP,current_period
1784275200000,0.0000295604398968,0.0000295604398968,BTC-USDT-SWAP,current_period
1784246400000,0.000053773733806,0.000053773733806,BTC-USDT-SWAP,current_period
1784217600000,0.00001498971488,0.00001498971488,BTC-USDT-SWAP,current_period
1784188800000,0.0000378071378877,0.0000378071378877,BTC-USDT-SWAP,current_period
1784160000000,0.0000811290335628,0.0000811290335628,BTC-USDT-SWAP,current_period
1784131200000,0.0000295691248966,0.0000295691248966,BTC-USDT-SWAP,current_period
1784102400000,0.0001,0.0001,BTC-USDT-SWAP,current_period
1784073600000,0.0001,0.0001,BTC-USDT-SWAP,current_period
1784044800000,0.0000799498182818,0.0000799498182818,BTC-USDT-SWAP,current_period
1784016000000,0.0000156977471317,0.0000156977471317,BTC-USDT-SWAP,current_period
1783987200000,0.0000666043492605,0.0000666043492605,BTC-USDT-SWAP,current_period
1783958400000,0.0000885517560254,0.0000885517560254,BTC-USDT-SWAP,current_period
1783929600000,0.0000070183139456,0.0000070183139456,BTC-USDT-SWAP,current_period
1783900800000,0.0000670987512867,0.0000670987512867,BTC-USDT-SWAP,current_period
1783872000000,0.0000564601192152,0.0000564601192152,BTC-USDT-SWAP,current_period
1783843200000,0.0000627690257703,0.0000627690257703,BTC-USDT-SWAP,current_period
1783814400000,0.0000665193799449,0.0000665193799449,BTC-USDT-SWAP,current_period
1783785600000,0.000034033691268,0.000034033691268,BTC-USDT-SWAP,current_period
1783756800000,-0.0000215211796162,-0.0000215211796162,BTC-USDT-SWAP,current_period
1783728000000,0.0000822511513621,0.0000822511513621,BTC-USDT-SWAP,current_period
1783699200000,0.0000754950605994,0.0000754950605994,BTC-USDT-SWAP,current_period
1783670400000,0.0000840924532537,0.0000840924532537,BTC-USDT-SWAP,current_period
1783641600000,0.0000732355162048,0.0000732355162048,BTC-USDT-SWAP,current_period
1783612800000,0.0000351830663184,0.0000351830663184,BTC-USDT-SWAP,current_period
1783584000000,0.0000013105775059,0.0000013105775059,BTC-USDT-SWAP,current_period
1783555200000,0.0000723410745506,0.0000723410745506,BTC-USDT-SWAP,current_period
1783526400000,0.0000851580031502,0.0000851580031502,BTC-USDT-SWAP,current_period
1783497600000,0.0000444623992899,0.0000444623992899,BTC-USDT-SWAP,current_period
1783468800000,0.0000568819916406,0.0000568819916406,BTC-USDT-SWAP,current_period
1783440000000,0.0000589596545996,0.0000589596545996,BTC-USDT-SWAP,current_period
1783411200000,0.0000678140695912,0.0000678140695912,BTC-USDT-SWAP,current_period
1783382400000,0.0001,0.0001,BTC-USDT-SWAP,current_period
1783353600000,0.0000435732937955,0.0000435732937955,BTC-USDT-SWAP,current_period
1783324800000,0.000098247928749,0.000098247928749,BTC-USDT-SWAP,current_period
1783296000000,0.0000617667680351,0.0000617667680351,BTC-USDT-SWAP,current_period
1783267200000,0.0000211483321941,0.0000211483321941,BTC-USDT-SWAP,current_period
1783238400000,0.0000736099190415,0.0000736099190415,BTC-USDT-SWAP,current_period
1783209600000,0.0001,0.0001,BTC-USDT-SWAP,current_period
1783180800000,0.0000644399138913,0.0000644399138913,BTC-USDT-SWAP,current_period
1783152000000,0.0000608954397873,0.0000608954397873,BTC-USDT-SWAP,current_period
1783123200000,0.0000407757884118,0.0000407757884118,BTC-USDT-SWAP,current_period
1783094400000,0.0000538283058701,0.0000538283058701,BTC-USDT-SWAP,current_period
1783065600000,0.0001,0.0001,BTC-USDT-SWAP,current_period
1783036800000,0.0001,0.0001,BTC-USDT-SWAP,current_period
1783008000000,0.0000311543020607,0.0000311543020607,BTC-USDT-SWAP,current_period
1782979200000,0.0001,0.0001,BTC-USDT-SWAP,current_period
1782950400000,0.000090342275479,0.000090342275479,BTC-USDT-SWAP,current_period
1782921600000,0.0000376950039265,0.0000376950039265,BTC-USDT-SWAP,current_period
1782892800000,0.0000130447729281,0.0000130447729281,BTC-USDT-SWAP,current_period
1782864000000,0.0000477134731687,0.0000477134731687,BTC-USDT-SWAP,current_period
1782835200000,0.0000641177716092,0.0000641177716092,BTC-USDT-SWAP,current_period
1782806400000,0.0000521934781504,0.0000521934781504,BTC-USDT-SWAP,current_period
1782777600000,0.0000845798622754,0.0000845798622754,BTC-USDT-SWAP,current_period
1782748800000,0.0000717956019909,0.0000717956019909,BTC-USDT-SWAP,current_period
1782720000000,0.0000503634854124,0.0000503634854124,BTC-USDT-SWAP,current_period
1782691200000,0.0000046598340778,0.0000046598340778,BTC-USDT-SWAP,current_period
1782662400000,0.0000395436281002,0.0000395436281002,BTC-USDT-SWAP,current_period
1782633600000,0.0000319959525751,0.0000319959525751,BTC-USDT-SWAP,current_period
1782604800000,0.0000402316180587,0.0000402316180587,BTC-USDT-SWAP,current_period
1782576000000,0.0000322701928586,0.0000322701928586,BTC-USDT-SWAP,current_period
1782547200000,0.000050548856273,0.000050548856273,BTC-USDT-SWAP,current_period
1782518400000,0.0000406267603842,0.0000406267603842,BTC-USDT-SWAP,current_period
1782489600000,0.0000820729542149,0.0000820729542149,BTC-USDT-SWAP,current_period
1782460800000,0.0000096635297061,0.0000096635297061,BTC-USDT-SWAP,current_period
1782432000000,0.0000013441848992,0.0000013441848992,BTC-USDT-SWAP,current_period
1782403200000,-0.0000344282240539,-0.0000344282240539,BTC-USDT-SWAP,current_period
